customer_id,city,tier,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_total,segment
C020274,Hyderabad,casual,446.0,2,578.0,2,2,1,5,Needs Attention
C003410,Mumbai,casual,721.0,1,899.0,1,1,1,3,Needs Attention
C094397,Delhi,casual,65.0,1,1352.0,4,2,2,8,New/Promising
C069129,Mumbai,loyal,84.0,14,15127.0,4,4,4,12,Champion
C058609,Bangalore,regular,742.0,1,1197.0,1,1,2,4,Needs Attention
C021431,Bangalore,casual,1176.0,1,869.0,1,1,1,3,Needs Attention
C032158,Mumbai,casual,228.0,2,1878.0,3,2,2,7,New/Promising
C021482,Delhi,regular,8.0,6,5052.0,4,4,4,12,Champion
C063198,Mumbai,casual,408.0,2,1071.62,2,2,2,6,Needs Attention
C073377,Pune,regular,173.0,6,5183.0,3,4,4,11,Champion
C085797,Hyderabad,casual,42.0,3,2965.0,4,3,3,10,Champion
C049367,Pune,casual,86.0,4,3400.0,4,4,3,11,Champion
C016010,Delhi,casual,1033.0,1,1010.0,1,1,1,3,Needs Attention
C017218,Mumbai,casual,637.0,2,1971.0,1,2,2,5,Needs Attention
C071001,Pune,casual,199.0,2,1571.0,3,2,2,7,New/Promising
C075594,Delhi,casual,309.0,3,2586.0,2,3,3,8,Loyal
C045290,Hyderabad,casual,198.0,2,2200.0,3,2,3,8,New/Promising
C000702,Pune,casual,521.0,1,454.77,1,1,1,3,Needs Attention
C085446,Hyderabad,casual,207.0,4,3348.77,3,4,3,10,Champion
C021653,Mumbai,casual,343.0,1,313.0,2,1,1,4,Needs Attention
C066682,Delhi,casual,751.0,1,558.0,1,1,1,3,Needs Attention
C030070,Delhi,regular,140.0,7,8221.0,3,4,4,11,Champion
C037995,Hyderabad,regular,878.0,4,3441.0,1,4,3,8,Loyal
C056526,Hyderabad,casual,68.0,1,1218.0,4,1,2,7,New/Promising
C057281,Mumbai,casual,72.0,3,1459.0,4,3,2,9,Needs Attention
C058937,Hyderabad,casual,434.0,1,384.0,2,1,1,4,Needs Attention
C082001,Delhi,casual,442.0,2,639.48,2,2,1,5,Needs Attention
C054885,Hyderabad,casual,377.0,3,2865.0,2,3,3,8,Loyal
C005910,Bangalore,casual,9.0,3,4034.0,4,3,4,11,Champion
C009642,Bangalore,casual,213.0,1,550.0,3,1,1,5,New/Promising
C023133,Bangalore,casual,301.0,1,314.0,2,1,1,4,Needs Attention
C050393,Hyderabad,casual,19.0,4,5780.47,4,4,4,12,Champion
C043286,Pune,casual,28.0,2,2004.0,4,2,3,9,New/Promising
C034945,Bangalore,casual,97.0,1,2122.0,3,2,3,8,New/Promising
C009641,Delhi,casual,220.0,1,383.0,3,1,1,5,New/Promising
C005901,Bangalore,regular,21.0,2,842.0,4,2,1,7,New/Promising
C076961,Mumbai,casual,187.0,3,2624.0,3,3,3,9,Champion
C060492,Mumbai,casual,622.0,2,2177.0,1,2,3,6,Needs Attention
C052602,Mumbai,casual,17.0,4,3207.0,4,4,3,11,Champion
C077987,Delhi,loyal,101.0,14,14287.0,3,4,4,11,Champion
C033004,Hyderabad,casual,106.0,2,2364.0,3,3,3,9,Champion
C063412,Bangalore,regular,390.0,6,5185.62,2,4,4,10,Loyal
C000803,Delhi,regular,115.0,3,1423.0,3,3,2,8,Needs Attention
C059808,Hyderabad,casual,377.0,3,3403.0,2,3,3,8,Loyal
C068245,Delhi,casual,612.0,2,3152.0,1,3,3,7,Loyal
C069845,Mumbai,casual,207.0,1,534.0,3,1,1,5,New/Promising
C096400,Delhi,casual,143.0,2,856.0,3,2,1,6,New/Promising
C049581,Bangalore,regular,130.0,4,2924.0,3,3,3,9,Champion
C032663,Hyderabad,regular,22.0,3,1995.0,4,3,3,10,Champion
C048893,Hyderabad,loyal,110.0,15,12677.02,3,4,4,11,Champion
C069134,Delhi,casual,542.0,2,2276.97,1,3,3,7,Loyal
C049670,Delhi,casual,624.0,3,2088.86,1,3,3,7,Loyal
C024255,Pune,casual,512.0,1,602.0,1,1,1,3,Needs Attention
C023817,Mumbai,casual,477.0,1,428.0,1,1,1,3,Needs Attention
C037383,Bangalore,casual,94.0,3,1531.0,3,3,2,8,Needs Attention
C095093,Delhi,regular,94.0,4,4874.93,3,4,4,11,Champion
C000614,Delhi,casual,45.0,1,2197.0,4,2,3,9,New/Promising
C017364,Delhi,casual,232.0,3,4733.0,3,3,4,10,Champion
C093582,Mumbai,casual,267.0,1,670.0,2,1,1,4,Needs Attention
C094119,Delhi,casual,291.0,3,2211.47,2,3,3,8,Loyal
C076414,Delhi,regular,131.0,6,4465.0,3,4,4,11,Champion
C007848,Delhi,regular,12.0,7,5166.09,4,4,4,12,Champion
C026701,Bangalore,regular,262.0,5,4441.43,2,4,4,10,Loyal
C050565,Pune,casual,20.0,2,2190.63,4,2,3,9,New/Promising
C026050,Bangalore,casual,84.0,1,390.0,4,1,1,6,New/Promising
C073723,Pune,loyal,242.0,16,12628.8,2,4,4,10,Loyal
C098964,Delhi,casual,129.0,1,824.0,3,1,1,5,New/Promising
C035147,Delhi,casual,686.0,1,1739.0,1,2,2,5,Needs Attention
C073145,Mumbai,regular,17.0,11,10008.87,4,4,4,12,Champion
C000038,Delhi,regular,584.0,4,3618.0,1,4,4,9,Loyal
C041653,Mumbai,casual,323.0,1,754.0,2,1,1,4,Needs Attention
C065701,Mumbai,casual,321.0,1,442.0,2,1,1,4,Needs Attention
C095515,Hyderabad,casual,84.0,6,5603.0,4,4,4,12,Champion
C012386,Delhi,casual,144.0,1,1000.0,3,1,1,5,New/Promising
C055085,Hyderabad,casual,468.0,2,2264.0,2,3,3,8,Loyal
C045270,Bangalore,casual,466.0,2,1156.48,2,2,2,6,Needs Attention
C021069,Delhi,casual,509.0,1,539.0,1,1,1,3,Needs Attention
C040821,Pune,casual,526.0,2,955.0,1,2,1,4,Needs Attention
C047130,Bangalore,loyal,29.0,17,15655.77,4,4,4,12,Champion
C091301,Mumbai,casual,353.0,2,804.23,2,2,1,5,Needs Attention
C002088,Hyderabad,regular,410.0,3,2662.3,2,3,3,8,Loyal
C054528,Delhi,loyal,35.0,17,14961.48,4,4,4,12,Champion
C043550,Delhi,casual,305.0,1,273.0,2,1,1,4,Needs Attention
C005544,Hyderabad,regular,80.0,5,3740.45,4,4,4,12,Champion
C029973,Delhi,casual,187.0,4,3281.0,3,4,3,10,Champion
C036474,Delhi,casual,851.0,3,4049.0,1,3,4,8,Loyal
C091994,Mumbai,casual,639.0,2,1190.46,1,2,2,5,Needs Attention
C081786,Delhi,casual,188.0,2,874.0,3,2,1,6,New/Promising
C064875,Hyderabad,casual,306.0,2,2492.0,2,3,3,8,Loyal
C082344,Mumbai,regular,135.0,2,820.0,3,2,1,6,New/Promising
C021911,Hyderabad,casual,6.0,3,2986.02,4,3,3,10,Champion
C025154,Mumbai,casual,7.0,4,3238.0,4,4,3,11,Champion
C026236,Mumbai,casual,151.0,1,1120.0,3,1,2,6,New/Promising
C033967,Hyderabad,casual,4.0,1,750.0,4,1,1,6,New/Promising
C096978,Pune,casual,404.0,3,2637.06,2,3,3,8,Loyal
C040757,Bangalore,casual,173.0,2,790.0,3,2,1,6,New/Promising
C045406,Mumbai,casual,590.0,1,1060.0,1,1,1,3,Needs Attention
C086127,Hyderabad,casual,622.0,3,4532.0,1,3,4,8,Loyal
C083844,Mumbai,casual,503.0,1,1144.0,1,1,2,4,Needs Attention
C084132,Delhi,casual,379.0,3,2278.0,2,3,3,8,Loyal
C096350,Delhi,casual,374.0,1,948.0,2,1,1,4,Needs Attention
C004680,Pune,regular,177.0,3,3660.0,3,3,4,10,Champion
C051405,Hyderabad,regular,35.0,8,8794.53,4,4,4,12,Champion
C079732,Hyderabad,loyal,30.0,9,10116.0,4,4,4,12,Champion
C017912,Delhi,casual,348.0,3,2338.0,2,3,3,8,Loyal
C018532,Pune,casual,568.0,2,2109.0,1,2,3,6,Needs Attention
C034020,Hyderabad,casual,497.0,2,690.0,1,2,1,4,Needs Attention
C036966,Delhi,casual,377.0,1,684.0,2,1,1,4,Needs Attention
C004032,Delhi,casual,547.0,2,1681.0,1,2,2,5,Needs Attention
C059044,Mumbai,casual,456.0,1,711.0,2,1,1,4,Needs Attention
C017971,Bangalore,casual,142.0,2,1784.0,3,2,2,7,New/Promising
C090633,Delhi,casual,401.0,2,1815.4,2,2,2,6,Needs Attention
C099933,Mumbai,casual,820.0,2,3162.0,1,3,3,7,Loyal
C094822,Hyderabad,casual,80.0,3,2842.0,4,3,3,10,Champion
C081671,Mumbai,casual,869.0,1,395.0,1,1,1,3,Needs Attention
C030455,Pune,casual,60.0,2,1789.0,4,2,2,8,New/Promising
C071784,Mumbai,regular,205.0,6,4823.0,3,4,4,11,Champion
C028972,Pune,casual,252.0,2,1880.0,2,2,2,6,Needs Attention
C086376,Delhi,casual,67.0,2,1442.0,4,2,2,8,New/Promising
C027319,Hyderabad,casual,143.0,2,1445.0,3,2,2,7,New/Promising
C040176,Pune,regular,686.0,3,3246.0,1,3,3,7,Loyal
C018403,Bangalore,casual,558.0,2,2296.51,1,3,3,7,Loyal
C004160,Pune,casual,138.0,4,3526.0,3,4,3,10,Champion
C045090,Mumbai,loyal,191.0,25,23367.0,3,4,4,11,Champion
C038549,Pune,regular,8.0,9,8127.68,4,4,4,12,Champion
C072436,Pune,casual,351.0,3,3569.0,2,3,4,9,Loyal
C059700,Delhi,regular,86.0,7,8267.0,4,4,4,12,Champion
C062001,Delhi,regular,383.0,4,3749.0,2,4,4,10,Loyal
C014025,Delhi,regular,105.0,6,4230.81,3,4,4,11,Champion
C098155,Bangalore,casual,582.0,1,441.0,1,1,1,3,Needs Attention
C021569,Mumbai,loyal,171.0,13,12087.0,3,4,4,11,Champion
C049085,Mumbai,casual,245.0,2,2188.0,2,2,3,7,Needs Attention
C021151,Bangalore,casual,1149.0,1,1465.0,1,2,2,5,Needs Attention
C048913,Bangalore,casual,421.0,1,232.0,2,1,1,4,Needs Attention
C040538,Pune,casual,85.0,3,3592.0,4,3,4,11,Champion
C090462,Mumbai,loyal,36.0,18,15958.37,4,4,4,12,Champion
C062381,Bangalore,casual,530.0,1,861.27,1,1,1,3,Needs Attention
C052468,Pune,regular,598.0,1,1612.0,1,2,2,5,Needs Attention
C033410,Delhi,casual,99.0,2,856.0,3,2,1,6,New/Promising
C060869,Pune,casual,17.0,1,539.0,4,1,1,6,New/Promising
C001803,Delhi,casual,67.0,2,2826.0,4,3,3,10,Champion
C015621,Hyderabad,loyal,6.0,15,13980.0,4,4,4,12,Champion
C075023,Pune,casual,300.0,3,2864.0,2,3,3,8,Loyal
C071260,Bangalore,casual,315.0,2,1496.0,2,2,2,6,Needs Attention
C003282,Pune,casual,15.0,2,1752.0,4,2,2,8,New/Promising
C052826,Hyderabad,casual,78.0,4,2816.0,4,3,3,10,Champion
C067812,Mumbai,regular,490.0,3,2793.0,1,3,3,7,Loyal
C046857,Pune,regular,463.0,3,3338.0,2,3,3,8,Loyal
C033286,Delhi,casual,140.0,2,584.0,3,2,1,6,New/Promising
C050429,Hyderabad,regular,73.0,4,3419.0,4,4,3,11,Champion
C051106,Delhi,regular,504.0,2,2827.0,1,3,3,7,Loyal
C058048,Bangalore,casual,117.0,2,1946.0,3,2,2,7,New/Promising
C052146,Bangalore,casual,972.0,1,1187.0,1,1,2,4,Needs Attention
C022938,Bangalore,casual,37.0,3,2547.0,4,3,3,10,Champion
C013285,Bangalore,casual,427.0,1,399.0,2,1,1,4,Needs Attention
C039410,Delhi,casual,114.0,4,3967.0,3,4,4,11,Champion
C072598,Bangalore,regular,260.0,3,1652.9,2,3,2,7,At Risk
C023196,Bangalore,casual,253.0,3,3587.0,2,3,4,9,Loyal
C003711,Pune,regular,142.0,8,6774.0,3,4,4,11,Champion
C081301,Hyderabad,casual,321.0,2,1761.0,2,2,2,6,Needs Attention
C011191,Delhi,regular,7.0,4,2157.74,4,3,3,10,Champion
C037182,Delhi,casual,603.0,1,1055.0,1,1,1,3,Needs Attention
C046003,Pune,regular,15.0,5,4754.66,4,4,4,12,Champion
C034363,Bangalore,casual,373.0,1,340.0,2,1,1,4,Needs Attention
C004863,Bangalore,casual,327.0,1,608.0,2,1,1,4,Needs Attention
C042420,Delhi,casual,145.0,1,1438.0,3,2,2,7,New/Promising
C098459,Mumbai,casual,814.0,1,454.0,1,1,1,3,Needs Attention
C073024,Bangalore,casual,435.0,1,1059.0,2,1,1,4,Needs Attention
C096874,Pune,casual,308.0,1,1080.47,2,1,2,5,Needs Attention
C005278,Mumbai,casual,498.0,2,1142.0,1,2,2,5,Needs Attention
C010752,Mumbai,loyal,48.0,20,17833.0,4,4,4,12,Champion
C064969,Mumbai,casual,142.0,1,1248.0,3,1,2,6,New/Promising
C002444,Hyderabad,casual,1191.0,1,888.0,1,1,1,3,Needs Attention
C023466,Hyderabad,regular,736.0,4,2897.57,1,3,3,7,Loyal
C065336,Delhi,casual,60.0,2,1129.0,4,2,2,8,New/Promising
C034570,Delhi,regular,284.0,2,1241.0,2,2,2,6,Needs Attention
C096925,Mumbai,casual,299.0,1,1632.0,2,2,2,6,Needs Attention
C052559,Mumbai,casual,786.0,1,524.0,1,1,1,3,Needs Attention
C053589,Bangalore,casual,189.0,2,1304.0,3,2,2,7,New/Promising
C078476,Pune,casual,112.0,1,712.0,3,1,1,5,New/Promising
C040108,Bangalore,casual,268.0,2,2673.37,2,3,3,8,Loyal
C084007,Bangalore,casual,1413.0,1,1360.68,1,2,2,5,Needs Attention
C009955,Hyderabad,regular,126.0,3,2573.0,3,3,3,9,Champion
C008066,Pune,casual,84.0,2,2934.0,4,3,3,10,Champion
C024643,Mumbai,regular,505.0,5,3826.0,1,4,4,9,Loyal
C056385,Delhi,regular,44.0,3,2353.0,4,3,3,10,Champion
C035478,Bangalore,casual,707.0,1,390.0,1,1,1,3,Needs Attention
C012377,Mumbai,casual,118.0,2,1635.0,3,2,2,7,New/Promising
C001366,Pune,casual,146.0,1,272.0,3,1,1,5,New/Promising
C083628,Hyderabad,regular,260.0,3,1200.0,2,3,2,7,At Risk
C037644,Hyderabad,casual,486.0,1,1337.62,1,2,2,5,Needs Attention
C017116,Delhi,casual,173.0,3,4830.0,3,3,4,10,Champion
C074581,Bangalore,casual,148.0,1,483.0,3,1,1,5,New/Promising
C016261,Mumbai,casual,315.0,2,1626.62,2,2,2,6,Needs Attention
C026870,Delhi,regular,67.0,3,3254.0,4,3,3,10,Champion
C020481,Bangalore,regular,4.0,3,1111.0,4,3,2,9,Needs Attention
C095785,Hyderabad,casual,25.0,2,2399.97,4,3,3,10,Champion
C075621,Delhi,casual,806.0,1,981.0,1,1,1,3,Needs Attention
C022466,Delhi,casual,314.0,3,2039.0,2,3,3,8,Loyal
C059391,Mumbai,casual,,1,1540.0,4,2,2,8,New/Promising
C074532,Pune,casual,439.0,1,1128.0,2,1,2,5,Needs Attention
C016194,Mumbai,casual,287.0,2,2380.97,2,3,3,8,Loyal
C090627,Delhi,casual,248.0,3,3266.4,2,3,3,8,Loyal
C077501,Bangalore,regular,94.0,3,1954.0,3,3,2,8,Needs Attention
C029724,Delhi,regular,200.0,5,2086.11,3,4,3,10,Champion
C014511,Hyderabad,casual,375.0,2,529.0,2,2,1,5,Needs Attention
C024447,Hyderabad,casual,432.0,2,352.0,2,2,1,5,Needs Attention
C084806,Pune,casual,1107.0,1,1284.28,1,1,2,4,Needs Attention
C079845,Mumbai,regular,372.0,6,3745.57,2,4,4,10,Loyal
C025418,Bangalore,regular,926.0,2,1226.0,1,2,2,5,Needs Attention
C022185,Hyderabad,casual,65.0,2,1987.0,4,2,3,9,New/Promising
C065837,Bangalore,casual,141.0,3,2084.87,3,3,3,9,Champion
C099545,Hyderabad,casual,191.0,3,2639.0,3,3,3,9,Champion
C032901,Pune,loyal,81.0,16,15494.07,4,4,4,12,Champion
C050412,Pune,casual,302.0,3,2936.47,2,3,3,8,Loyal
C029524,Pune,regular,53.0,6,4994.0,4,4,4,12,Champion
C068772,Pune,casual,961.0,2,1245.11,1,2,2,5,Needs Attention
C080209,Pune,regular,85.0,6,4710.37,4,4,4,12,Champion
C078227,Bangalore,casual,580.0,2,1480.0,1,2,2,5,Needs Attention
C018421,Bangalore,casual,401.0,1,619.23,2,1,1,4,Needs Attention
C023116,Bangalore,casual,172.0,2,2088.0,3,2,3,8,New/Promising
C070137,Hyderabad,casual,157.0,3,3008.0,3,3,3,9,Champion
C045307,Mumbai,casual,174.0,1,986.0,3,1,1,5,New/Promising
C098257,Mumbai,casual,14.0,3,2672.0,4,3,3,10,Champion
C062101,Bangalore,casual,542.0,3,2591.0,1,3,3,7,Loyal
C076106,Bangalore,casual,47.0,3,4095.0,4,3,4,11,Champion
C077094,Pune,casual,11.0,3,3564.0,4,3,4,11,Champion
C065711,Hyderabad,casual,94.0,3,3083.0,3,3,3,9,Champion
C003985,Bangalore,regular,1094.0,3,2615.0,1,3,3,7,Loyal
C048921,Pune,casual,820.0,2,1759.37,1,2,2,5,Needs Attention
C048244,Mumbai,regular,328.0,5,2690.0,2,4,3,9,Loyal
C009499,Pune,regular,166.0,6,4705.72,3,4,4,11,Champion
C040721,Hyderabad,casual,1288.0,1,1162.0,1,1,2,4,Needs Attention
C004607,Delhi,casual,418.0,3,2457.0,2,3,3,8,Loyal
C091828,Mumbai,casual,71.0,3,1976.0,4,3,3,10,Champion
C064761,Delhi,casual,884.0,2,1581.0,1,2,2,5,Needs Attention
C000247,Hyderabad,casual,328.0,4,4856.47,2,4,4,10,Loyal
C097229,Bangalore,regular,928.0,4,2513.0,1,3,3,7,Loyal
C031563,Hyderabad,casual,252.0,2,1259.0,2,2,2,6,Needs Attention
C061692,Mumbai,casual,68.0,4,3454.11,4,4,3,11,Champion
C051973,Hyderabad,casual,73.0,3,2809.0,4,3,3,10,Champion
C088183,Pune,casual,21.0,1,1150.0,4,1,2,7,New/Promising
C055476,Hyderabad,casual,179.0,3,3184.0,3,3,3,9,Champion
C063588,Hyderabad,regular,569.0,4,4151.83,1,4,4,9,Loyal
C086956,Bangalore,casual,463.0,2,1292.0,2,2,2,6,Needs Attention
C077559,Mumbai,casual,478.0,1,1178.48,1,1,2,4,Needs Attention
C031917,Mumbai,casual,40.0,4,5468.0,4,4,4,12,Champion
C023934,Bangalore,casual,149.0,2,640.0,3,2,1,6,New/Promising
C038297,Delhi,loyal,3.0,17,19067.66,4,4,4,12,Champion
C011517,Bangalore,regular,128.0,4,3738.0,3,4,4,11,Champion
C058750,Delhi,casual,501.0,1,1318.0,1,2,2,5,Needs Attention
C041727,Hyderabad,casual,289.0,5,3015.0,2,4,3,9,Loyal
C074872,Pune,regular,986.0,3,2311.73,1,3,3,7,Loyal
C019219,Mumbai,casual,388.0,1,292.0,2,1,1,4,Needs Attention
C095143,Mumbai,casual,559.0,2,2822.0,1,3,3,7,Loyal
C084352,Bangalore,casual,94.0,4,4164.0,3,4,4,11,Champion
C088792,Pune,regular,287.0,3,2362.0,2,3,3,8,Loyal
C017831,Pune,casual,3.0,2,1178.0,4,2,2,8,New/Promising
C046836,Delhi,casual,119.0,2,2133.0,3,2,3,8,New/Promising
C081684,Bangalore,loyal,42.0,19,20833.25,4,4,4,12,Champion
C033229,Pune,casual,51.0,2,1834.82,4,2,2,8,New/Promising
C056680,Bangalore,casual,864.0,1,1632.27,1,2,2,5,Needs Attention
C019292,Pune,casual,426.0,1,331.39,2,1,1,4,Needs Attention
C063364,Hyderabad,regular,40.0,5,3695.0,4,4,4,12,Champion
C079949,Mumbai,regular,26.0,4,3790.0,4,4,4,12,Champion
C038536,Mumbai,casual,482.0,2,732.0,1,2,1,4,Needs Attention
C055398,Pune,regular,151.0,6,6320.0,3,4,4,11,Champion
C031077,Bangalore,casual,876.0,4,3954.0,1,4,4,9,Loyal
C080395,Mumbai,casual,201.0,2,1730.0,3,2,2,7,New/Promising
C081028,Bangalore,casual,344.0,3,3941.37,2,3,4,9,Loyal
C069107,Bangalore,regular,19.0,5,5543.0,4,4,4,12,Champion
C008530,Delhi,casual,68.0,2,1763.0,4,2,2,8,New/Promising
C063247,Mumbai,casual,270.0,2,3322.0,2,3,3,8,Loyal
C022094,Hyderabad,casual,29.0,2,2024.0,4,2,3,9,New/Promising
C069916,Mumbai,casual,113.0,3,3048.0,3,3,3,9,Champion
C076889,Bangalore,regular,174.0,6,4705.0,3,4,4,11,Champion
C097033,Pune,casual,36.0,2,1888.0,4,2,2,8,New/Promising
C037082,Bangalore,casual,1345.0,1,219.0,1,1,1,3,Needs Attention
C093090,Delhi,casual,112.0,2,1289.0,3,2,2,7,New/Promising
C010148,Mumbai,casual,538.0,2,2449.57,1,3,3,7,Loyal
C070938,Bangalore,casual,14.0,2,1290.0,4,2,2,8,New/Promising
C043784,Delhi,regular,51.0,2,1628.0,4,2,2,8,New/Promising
C095707,Bangalore,casual,44.0,1,40.0,4,1,1,6,New/Promising
C066776,Mumbai,casual,174.0,2,1288.0,3,2,2,7,New/Promising
C070005,Hyderabad,casual,643.0,2,2677.09,1,3,3,7,Loyal
C079408,Bangalore,casual,749.0,2,2558.0,1,3,3,7,Loyal
C056610,Delhi,loyal,5.0,10,8165.0,4,4,4,12,Champion
C016829,Bangalore,casual,374.0,2,2687.0,2,3,3,8,Loyal
C057264,Delhi,casual,165.0,5,3748.0,3,4,4,11,Champion
C060639,Pune,loyal,220.0,12,9802.15,3,4,4,11,Champion
C084241,Delhi,regular,196.0,2,1553.47,3,2,2,7,New/Promising
C053756,Pune,casual,182.0,3,1749.0,3,3,2,8,Needs Attention
C003931,Delhi,casual,1192.0,1,1620.0,1,2,2,5,Needs Attention
C049674,Delhi,casual,250.0,2,1371.0,2,2,2,6,Needs Attention
C093278,Bangalore,regular,148.0,4,2882.0,3,3,3,9,Champion
C082380,Delhi,casual,33.0,3,2558.86,4,3,3,10,Champion
C044713,Bangalore,casual,22.0,4,2974.24,4,3,3,10,Champion
C026362,Delhi,casual,497.0,1,360.0,1,1,1,3,Needs Attention
C087312,Bangalore,regular,120.0,7,5720.03,3,4,4,11,Champion
C046925,Bangalore,casual,337.0,2,1795.0,2,2,2,6,Needs Attention
C064642,Mumbai,casual,20.0,3,2772.0,4,3,3,10,Champion
C086023,Hyderabad,regular,34.0,8,7145.0,4,4,4,12,Champion
C059247,Delhi,casual,23.0,2,1932.0,4,2,2,8,New/Promising
C021530,Delhi,casual,88.0,1,200.0,4,1,1,6,New/Promising
C052870,Pune,casual,534.0,1,251.94,1,1,1,3,Needs Attention
C018615,Mumbai,casual,229.0,2,1979.0,3,2,3,8,New/Promising
C077332,Bangalore,casual,209.0,2,1620.43,3,2,2,7,New/Promising
C008418,Bangalore,casual,355.0,3,3908.0,2,3,4,9,Loyal
C066568,Delhi,casual,425.0,3,1905.0,2,3,2,7,At Risk
C077821,Mumbai,regular,73.0,8,5678.0,4,4,4,12,Champion
C079098,Bangalore,casual,827.0,1,1259.0,1,1,2,4,Needs Attention
C070877,Delhi,casual,982.0,1,482.0,1,1,1,3,Needs Attention
C046656,Bangalore,casual,61.0,1,549.0,4,1,1,6,New/Promising
C096253,Pune,casual,69.0,4,3422.0,4,4,3,11,Champion
C093875,Hyderabad,loyal,34.0,15,13886.73,4,4,4,12,Champion
C043971,Pune,regular,163.0,6,5693.27,3,4,4,11,Champion
C031515,Mumbai,regular,389.0,2,1164.0,2,2,2,6,Needs Attention
C029070,Mumbai,regular,13.0,5,3725.0,4,4,4,12,Champion
C090908,Mumbai,regular,348.0,2,2279.0,2,3,3,8,Loyal
C084175,Pune,regular,72.0,5,5395.0,4,4,4,12,Champion
C055875,Delhi,casual,576.0,1,1143.0,1,1,2,4,Needs Attention
C053693,Mumbai,casual,1015.0,2,1095.87,1,2,2,5,Needs Attention
C031847,Hyderabad,casual,417.0,2,1765.0,2,2,2,6,Needs Attention
C024658,Hyderabad,regular,122.0,7,6924.0,3,4,4,11,Champion
C089346,Bangalore,regular,30.0,11,7731.0,4,4,4,12,Champion
C064080,Bangalore,casual,496.0,2,1101.0,1,2,2,5,Needs Attention
C074606,Mumbai,casual,69.0,2,2573.0,4,3,3,10,Champion
C081037,Pune,regular,165.0,6,7622.7,3,4,4,11,Champion
C089428,Hyderabad,casual,133.0,1,776.0,3,1,1,5,New/Promising
C040032,Hyderabad,casual,998.0,1,1040.0,1,1,1,3,Needs Attention
C008586,Mumbai,regular,28.0,6,4519.0,4,4,4,12,Champion
C090408,Pune,casual,772.0,1,328.0,1,1,1,3,Needs Attention
C075138,Delhi,loyal,12.0,17,16844.47,4,4,4,12,Champion
C063133,Delhi,casual,134.0,2,2910.0,3,3,3,9,Champion
C051751,Bangalore,regular,49.0,5,3992.0,4,4,4,12,Champion
C036272,Delhi,loyal,39.0,14,13564.85,4,4,4,12,Champion
C015754,Pune,casual,11.0,4,2422.0,4,3,3,10,Champion
C044236,Pune,casual,313.0,2,772.47,2,2,1,5,Needs Attention
C096587,Pune,casual,548.0,1,525.0,1,1,1,3,Needs Attention
C095706,Delhi,regular,317.0,3,1837.0,2,3,2,7,At Risk
C050023,Bangalore,casual,1042.0,3,1753.0,1,3,2,6,At Risk
C084335,Bangalore,casual,536.0,2,1554.96,1,2,2,5,Needs Attention
C058412,Delhi,casual,237.0,3,2686.0,2,3,3,8,Loyal
C091963,Delhi,casual,724.0,1,1410.0,1,2,2,5,Needs Attention
C098048,Hyderabad,casual,233.0,2,3639.0,2,3,4,9,Loyal
C025646,Mumbai,regular,327.0,8,6054.54,2,4,4,10,Loyal
