delivery_partner_id,deliveries,avg_delivery_minutes,avg_distance_km,late_deliveries,pct_late
D0221,908,32.93,6.15,39,4.3
D0047,884,33.19,6.36,38,4.3
D0194,815,32.76,6.18,35,4.29
D0111,934,32.99,6.23,40,4.28
D0050,958,32.9,6.15,41,4.28
D0043,935,33.29,6.02,40,4.28
D0124,915,33.3,6.25,39,4.26
D0109,940,33.18,6.09,40,4.26
D0001,915,33.1,6.17,39,4.26
D0237,965,33.02,6.21,41,4.25
D0195,965,33.37,6.26,41,4.25
D0229,898,33.1,6.35,38,4.23
D0222,921,33.13,6.32,39,4.23
D0062,970,33.3,6.35,41,4.23
D0285,971,33.29,6.23,41,4.22
D0268,948,32.86,6.17,40,4.22
D0190,854,32.58,6.14,36,4.22
D0185,924,33.3,6.38,39,4.22
D0171,948,32.64,6.11,40,4.22
D0018,924,33.31,6.03,39,4.22
D0083,949,33.06,6.46,40,4.21
D0148,1001,32.26,6.16,42,4.2
D0147,904,32.98,6.28,38,4.2
D0132,953,33.21,6.41,40,4.2
D0143,909,33.09,6.16,38,4.18
D0183,911,33.39,6.26,38,4.17
D0035,960,33.15,6.14,40,4.17
D0157,890,32.88,6.14,37,4.16
D0044,962,32.82,6.24,40,4.16
D0250,915,33.42,6.35,38,4.15
D0249,965,32.86,6.31,40,4.15
D0224,921,33.06,6.44,38,4.13
D0068,944,32.63,6.25,39,4.13
D0004,921,32.89,6.29,38,4.13
D0247,971,33.16,6.23,40,4.12
D0095,874,32.63,6.37,36,4.12
D0153,924,32.99,6.33,38,4.11
D0159,902,32.87,6.11,37,4.1
D0105,951,33.03,6.03,39,4.1
D0069,951,33.11,6.25,39,4.1
D0180,855,33.22,6.46,35,4.09
D0077,1002,33.08,6.32,41,4.09
D0235,907,33.02,6.28,37,4.08
D0057,906,32.81,6.28,37,4.08
D0020,907,32.72,6.51,37,4.08
D0220,933,32.98,6.26,38,4.07
D0278,936,33.09,6.25,38,4.06
D0102,935,33.4,6.19,38,4.06
D0209,939,33.44,6.35,38,4.05
D0175,915,33.4,6.22,37,4.04
D0113,941,33.24,6.36,38,4.04
D0075,867,32.87,6.26,35,4.04
D0191,944,33.35,6.2,38,4.03
D0101,919,33.63,5.96,37,4.03
D0037,942,33.14,6.26,38,4.03
D0099,901,32.72,6.24,36,4.0
D0039,980,32.97,6.4,39,3.98
D0280,957,32.95,6.31,38,3.97
D0264,933,33.15,6.42,37,3.97
D0240,933,33.33,6.47,37,3.97
D0227,956,32.93,6.37,38,3.97
D0267,959,33.11,6.2,38,3.96
D0006,886,33.33,6.26,35,3.95
D0139,991,32.94,6.21,39,3.94
D0219,968,32.89,6.35,38,3.93
D0207,890,33.08,6.47,35,3.93
D0182,915,33.09,6.37,36,3.93
D0053,966,33.03,6.29,38,3.93
D0021,866,33.52,6.24,34,3.93
D0129,919,32.86,6.26,36,3.92
D0064,945,32.98,6.3,37,3.92
D0013,970,32.99,6.26,38,3.92
D0110,971,32.67,6.26,38,3.91
D0168,975,32.81,6.3,38,3.9
D0137,922,32.93,6.3,36,3.9
D0297,951,32.81,6.48,37,3.89
D0188,926,32.91,6.43,36,3.89
D0289,927,33.3,6.22,36,3.88
D0284,954,33.45,6.25,37,3.88
D0275,927,33.4,6.32,36,3.88
D0192,901,33.21,6.18,35,3.88
D0151,953,33.17,6.26,37,3.88
D0291,930,32.74,6.43,36,3.87
D0133,907,32.93,6.22,35,3.86
D0065,935,33.07,6.37,36,3.85
D0258,938,33.25,6.08,36,3.84
D0193,939,33.01,6.42,36,3.83
D0108,965,32.68,6.28,37,3.83
D0030,967,32.74,6.28,37,3.83
D0025,887,32.72,6.21,34,3.83
D0273,972,32.68,6.21,37,3.81
D0155,972,33.19,6.23,37,3.81
D0048,998,33.21,6.34,38,3.81
D0295,895,33.02,6.49,34,3.8
D0174,842,33.25,6.39,32,3.8
D0187,949,32.97,6.1,36,3.79
D0128,923,32.77,6.19,35,3.79
D0201,874,33.07,6.38,33,3.78
D0071,932,33.0,6.24,35,3.76
D0059,905,33.15,6.27,34,3.76
D0005,958,32.57,6.09,36,3.76
D0078,907,33.13,6.34,34,3.75
D0009,933,33.36,6.19,35,3.75
D0277,908,33.04,6.21,34,3.74
D0142,936,33.3,6.28,35,3.74
D0080,936,32.69,6.09,35,3.74
D0274,939,32.49,6.44,35,3.73
D0002,968,32.92,6.34,36,3.72
D0123,916,32.44,6.32,34,3.71
D0070,1000,33.0,6.2,37,3.7
D0042,920,33.19,6.17,34,3.7
D0010,947,33.04,6.24,35,3.7
D0215,925,32.8,6.18,34,3.68
D0027,951,32.98,6.18,35,3.68
D0118,872,32.32,6.13,32,3.67
D0088,956,32.7,6.25,35,3.66
D0239,931,32.81,6.21,34,3.65
D0167,931,32.88,6.27,34,3.65
D0115,959,32.94,6.23,35,3.65
D0098,904,33.59,6.25,33,3.65
D0116,964,32.88,6.26,35,3.63
D0206,942,33.2,6.29,34,3.61
D0063,970,33.05,6.17,35,3.61
D0213,945,32.96,6.42,34,3.6
D0243,947,32.78,5.98,34,3.59
D0150,919,33.06,6.31,33,3.59
D0081,924,32.81,6.18,33,3.57
D0022,924,33.19,6.21,33,3.57
D0286,955,32.41,6.23,34,3.56
D0205,899,33.06,6.49,32,3.56
D0086,898,33.16,6.47,32,3.56
D0016,928,33.13,6.09,33,3.56
D0014,927,33.43,6.54,33,3.56
D0269,957,33.31,6.28,34,3.55
D0223,929,33.02,6.14,33,3.55
D0186,1014,33.0,6.29,36,3.55
D0177,930,33.01,6.05,33,3.55
D0121,904,33.32,6.48,32,3.54
D0234,963,32.51,6.08,34,3.53
D0029,877,33.02,6.22,31,3.53
D0217,908,33.27,6.11,32,3.52
D0060,937,33.31,6.04,33,3.52
D0160,940,33.23,6.05,33,3.51
D0144,913,33.1,6.17,32,3.5
D0117,885,32.96,6.27,31,3.5
D0299,945,32.97,6.37,33,3.49
D0166,946,32.7,6.18,33,3.49
D0154,887,32.51,6.2,31,3.49
D0279,948,33.04,6.32,33,3.48
D0140,919,33.06,6.18,32,3.48
D0120,952,33.04,6.19,33,3.47
D0052,922,32.7,6.16,32,3.47
D0288,926,32.84,6.27,32,3.46
D0276,982,33.16,6.31,34,3.46
D0163,897,33.29,6.26,31,3.46
D0054,897,32.74,6.17,31,3.46
D0211,931,32.98,6.39,32,3.44
D0198,932,33.36,6.28,32,3.43
D0119,903,32.98,6.05,31,3.43
D0236,848,32.81,6.26,29,3.42
D0255,942,32.77,6.16,32,3.4
D0242,1003,33.12,6.2,34,3.39
D0107,944,33.45,6.19,32,3.39
D0156,975,33.06,6.42,33,3.38
D0145,982,32.77,6.16,33,3.36
D0090,923,32.97,6.26,31,3.36
D0017,982,33.14,6.24,33,3.36
D0046,924,32.62,6.37,31,3.35
D0032,929,32.96,6.37,31,3.34
D0131,931,33.25,6.33,31,3.33
D0112,902,32.64,6.37,30,3.33
D0084,930,33.11,6.25,31,3.33
D0141,903,32.98,6.21,30,3.32
D0106,935,33.14,6.3,31,3.32
D0073,994,32.97,6.26,33,3.32
D0011,934,32.67,6.22,31,3.32
D0225,910,32.97,6.23,30,3.3
D0203,971,33.18,6.14,32,3.3
D0055,971,32.71,6.39,32,3.3
D0298,951,32.67,6.29,31,3.26
D0292,921,33.14,6.27,30,3.26
D0162,961,33.52,6.27,31,3.23
D0066,933,32.87,6.25,30,3.22
D0028,933,32.94,6.03,30,3.22
D0176,872,33.19,6.23,28,3.21
D0272,1004,32.99,6.26,32,3.19
D0074,940,32.85,6.08,30,3.19
D0173,881,32.8,6.37,28,3.18
D0199,882,33.05,6.24,28,3.17
D0045,946,32.91,6.4,30,3.17
D0036,932,32.95,6.4,29,3.11
D0293,872,32.83,6.27,27,3.1
D0262,968,33.11,6.3,30,3.1
D0158,902,32.81,6.27,28,3.1
D0261,937,32.83,6.32,29,3.09
D0103,941,33.04,6.27,29,3.08
D0031,880,32.9,6.33,27,3.07
D0170,949,32.82,6.33,29,3.06
D0208,918,32.39,6.24,28,3.05
D0040,921,32.49,6.5,28,3.04
D0082,930,32.96,6.15,28,3.01
D0146,943,33.17,6.2,28,2.97
D0104,910,32.74,6.37,27,2.97
D0003,942,33.01,6.17,28,2.97
D0189,916,32.76,6.27,27,2.95
D0019,916,32.91,6.25,27,2.95
D0287,898,32.86,6.16,26,2.9
D0135,868,32.35,6.46,25,2.88
D0196,907,33.21,6.2,26,2.87
D0251,911,32.88,6.07,26,2.85
D0202,914,32.92,6.14,26,2.84
D0226,918,32.85,6.44,26,2.83
D0263,924,33.45,6.36,26,2.81
D0058,892,32.82,6.09,25,2.8
D0136,976,33.09,6.15,27,2.77
D0076,940,32.35,6.29,26,2.77
D0015,873,32.79,6.1,24,2.75
D0056,989,32.58,6.15,27,2.73
D0282,957,32.79,6.11,26,2.72
D0257,959,32.77,6.28,26,2.71
D0130,890,33.15,6.28,24,2.7
D0233,931,32.41,6.28,25,2.69
D0246,917,33.49,6.23,24,2.62
D0181,915,32.18,6.24,24,2.62
D0212,924,32.4,6.26,24,2.6
D0149,926,33.24,6.36,24,2.59
D0138,925,32.9,6.34,24,2.59
D0134,893,32.64,6.11,23,2.58
D0061,900,32.92,6.41,23,2.56
D0126,913,32.82,6.33,23,2.52
D0179,917,33.2,6.21,23,2.51
D0051,900,32.99,6.29,22,2.44
D0238,959,32.23,6.31,23,2.4
D0244,925,33.02,6.28,20,2.16
