PerformanceRating_ID;PerformanceCode;Employee_ID;ReviewDateKey;EnvironmentSatisfactionKey;JobSatisfactionKey;RelationshipSatisfactionKey;WorkLifeBalanceKey;SelfRatingKey;ManagerRatingKey;TrainingOpportunitiesWithinYear;TrainingOpportunitiesTaken;ReviewCount
59;PR1043;409;20160411;5;1;1;3;3;4;2;2;1
60;PR1044;465;20160412;2;2;3;2;3;4;1;1;1
61;PR1045;926;20160412;2;2;3;5;2;2;1;2;1
62;PR1046;1128;20160413;3;3;3;2;2;3;1;3;1
63;PR1047;1173;20160413;5;5;5;1;1;1;1;3;1
64;PR1048;529;20160413;2;1;5;5;1;2;1;2;1
65;PR1049;1340;20160413;5;5;2;2;3;3;1;0;1
66;PR105;1377;20130415;2;5;1;2;2;3;3;0;1
67;PR1050;1377;20160414;3;5;1;1;2;2;1;0;1
68;PR1051;714;20160414;2;3;3;3;3;3;3;1;1
69;PR1052;1181;20160414;5;1;3;3;3;4;3;0;1
70;PR1053;702;20160416;2;5;2;3;1;1;3;1;1
71;PR1054;1117;20160416;2;1;1;1;3;4;1;1;1
72;PR1055;850;20160416;5;5;5;2;3;4;3;2;1
73;PR1056;1034;20160416;5;3;3;5;1;2;3;0;1
74;PR1057;536;20160417;5;3;2;3;1;2;2;2;1
75;PR1058;422;20160417;5;2;2;3;1;2;3;1;1
76;PR1059;964;20160418;3;2;1;2;1;1;1;1;1
77;PR106;536;20130418;2;3;5;5;1;1;3;3;1
78;PR1060;1463;20160419;5;2;1;1;3;3;2;3;1
79;PR1061;1130;20160420;5;1;3;3;1;1;3;0;1
80;PR1062;1091;20160420;3;5;1;1;2;3;1;0;1
81;PR1063;838;20160421;2;5;1;1;1;1;2;1;1
82;PR1064;359;20160422;3;5;3;2;2;3;3;0;1
83;PR1065;1295;20160422;2;5;5;1;3;4;3;0;1
84;PR1066;661;20160422;3;5;3;1;3;4;2;0;1
85;PR1067;415;20160423;3;1;1;1;3;3;3;1;1
86;PR1068;460;20160424;3;5;1;2;2;2;2;1;1
87;PR1069;923;20160424;3;3;1;3;3;4;1;0;1
88;PR107;1130;20130421;5;3;5;3;3;3;2;0;1
89;PR1070;1063;20160424;5;5;1;3;1;1;2;1;1
90;PR1071;105;20160425;3;5;1;3;3;4;1;2;1
91;PR1072;441;20160426;3;1;1;3;1;2;2;0;1
92;PR1073;160;20160428;5;5;3;5;1;2;2;2;1
93;PR1074;1253;20160428;2;5;2;3;3;4;1;0;1
94;PR1075;1138;20160429;3;1;1;3;1;2;1;0;1
95;PR1076;911;20160430;5;2;2;2;2;3;1;0;1
96;PR1077;1211;20160430;5;5;1;2;1;2;1;1;1
97;PR1078;270;20160430;2;1;3;5;3;3;3;2;1
98;PR1079;308;20160430;2;1;2;2;1;2;2;1;1
99;PR108;359;20130423;5;1;5;5;1;1;3;1;1
100;PR1080;289;20160501;5;1;5;2;3;4;3;1;1
101;PR1081;1008;20160501;2;5;3;5;1;2;1;3;1
102;PR1082;1354;20160501;5;5;2;2;2;2;1;2;1
103;PR1083;133;20160502;3;3;3;5;1;2;1;0;1
104;PR1084;512;20160502;5;5;3;3;3;4;2;0;1
105;PR1085;1202;20160503;5;1;2;1;3;4;3;0;1
106;PR1086;491;20160503;3;2;5;3;3;3;3;2;1
107;PR1087;127;20160504;2;1;2;2;3;3;3;0;1
108;PR1088;981;20160504;3;5;1;5;2;3;2;2;1
109;PR1089;1466;20160505;3;5;1;2;2;3;3;0;1
110;PR109;1295;20130423;2;3;3;1;2;2;3;1;1
111;PR1090;1401;20160505;4;3;2;4;3;4;3;1;1
112;PR1091;109;20160505;2;3;3;4;1;1;1;2;1
113;PR1092;257;20160506;1;4;4;2;3;3;3;0;1
114;PR1093;57;20160506;4;3;1;2;3;4;1;2;1
115;PR1094;1201;20160506;3;1;1;4;3;3;2;2;1
116;PR1095;873;20160506;3;1;3;1;2;2;1;1;1
117;PR1096;1341;20160507;4;3;1;3;1;1;1;1;1
118;PR1097;234;20160508;2;3;3;2;1;1;2;0;1
119;PR1098;616;20160508;4;4;4;2;2;2;1;3;1
120;PR1099;391;20160509;1;3;4;1;2;2;1;2;1
121;PR11;865;20130111;5;5;1;1;1;1;2;0;1
122;PR110;1199;20130423;3;2;3;3;2;2;3;1;1
123;PR1100;805;20160509;2;3;2;2;2;3;2;1;1
124;PR1101;1305;20160510;2;1;1;3;1;2;2;2;1
125;PR1102;705;20160510;2;2;1;5;1;2;2;2;1
126;PR1103;941;20160511;2;3;1;5;3;4;1;0;1
127;PR1104;171;20160512;2;1;3;5;3;3;1;0;1
128;PR1105;363;20160512;5;5;5;3;1;2;1;0;1
129;PR1106;932;20160512;2;1;5;3;3;4;2;0;1
130;PR1107;370;20160513;3;2;1;5;3;4;1;0;1
131;PR1108;1149;20160513;5;2;5;5;1;1;2;2;1
132;PR1109;1084;20160513;3;2;5;1;1;2;1;0;1
133;PR111;1373;20130423;2;3;5;3;3;3;3;0;1
134;PR1110;185;20160514;5;3;5;2;2;2;3;0;1
135;PR1111;1280;20160515;5;2;2;2;2;2;1;2;1
136;PR1112;1470;20160515;3;2;1;5;3;4;3;2;1
137;PR1113;61;20160516;3;1;1;1;1;1;2;0;1
138;PR1114;899;20160516;2;2;5;5;3;3;3;0;1
139;PR1115;591;20160516;2;1;5;3;2;2;3;1;1
140;PR1116;886;20160517;3;2;5;1;1;1;3;1;1
141;PR1117;213;20160518;2;1;1;3;2;2;2;1;1
142;PR1118;435;20160519;3;2;2;2;1;1;3;1;1
143;PR1119;456;20160519;5;3;2;3;1;1;3;3;1
144;PR112;1063;20130425;5;1;3;5;1;2;3;0;1
145;PR1120;915;20160519;2;3;3;3;2;3;1;1;1
146;PR1121;1082;20160519;2;2;1;3;2;3;1;2;1
147;PR1122;823;20160520;3;3;2;2;1;1;1;0;1
148;PR1123;4;20160521;2;2;5;5;1;2;3;2;1
149;PR1124;144;20160522;5;3;3;5;3;4;2;2;1
150;PR1125;776;20160523;3;2;1;2;2;2;1;2;1
151;PR1126;387;20160523;3;5;1;2;1;2;1;0;1
152;PR1127;1074;20160523;5;3;1;5;2;3;1;1;1
153;PR1128;741;20160523;5;1;1;2;2;3;2;1;1
154;PR1129;41;20160524;3;2;2;1;2;3;1;2;1
155;PR113;105;20130426;2;2;1;1;3;4;1;2;1
156;PR1130;92;20160524;3;2;2;5;2;3;2;1;1
157;PR1131;1366;20160524;2;5;1;3;1;2;1;0;1
158;PR1132;1248;20160526;2;2;5;1;3;3;3;0;1
159;PR1133;240;20160526;5;3;2;2;1;1;2;0;1
160;PR1134;390;20160526;3;1;1;1;3;3;2;1;1
161;PR1135;272;20160527;2;3;5;3;2;3;2;0;1
162;PR1136;1405;20160527;2;1;5;5;2;2;1;2;1
163;PR1137;1155;20160528;5;2;2;2;1;1;3;1;1
164;PR1138;1093;20160529;5;5;1;2;2;2;1;0;1
165;PR1139;1284;20160529;2;1;2;3;1;2;1;0;1
166;PR114;441;20130427;3;5;2;2;3;4;1;0;1
167;PR1140;618;20160529;5;1;1;1;2;3;3;0;1
168;PR1141;662;20160529;2;1;3;1;1;1;1;1;1
169;PR1142;576;20160531;2;2;3;2;2;2;2;1;1
170;PR1143;1419;20160531;5;1;5;5;2;3;2;3;1
171;PR1144;1023;20160601;3;5;2;5;2;2;1;1;1
172;PR1145;589;20160601;2;1;5;2;1;1;2;0;1
173;PR1146;767;20160601;2;3;1;5;2;3;3;2;1
174;PR1147;1408;20160601;2;2;2;1;2;2;3;3;1
175;PR1148;77;20160603;5;1;3;3;1;2;1;2;1
176;PR1149;42;20160604;2;1;2;3;3;3;1;1;1
177;PR115;722;20130427;5;1;5;3;2;2;2;1;1
178;PR1150;887;20160605;2;2;3;3;2;2;2;0;1
179;PR1151;1278;20160606;5;5;3;5;1;2;1;0;1
180;PR1152;637;20160606;3;2;1;2;3;3;1;1;1
181;PR1153;1168;20160606;3;5;2;3;3;4;3;2;1
182;PR1154;1050;20160609;2;2;2;3;3;3;1;1;1
183;PR1155;1219;20160609;5;5;3;5;3;4;2;1;1
184;PR1156;785;20160610;3;5;1;5;1;2;2;0;1
185;PR1157;346;20160612;5;1;2;5;1;1;2;2;1
186;PR1158;1294;20160613;5;5;1;3;1;1;3;3;1
187;PR1159;340;20160614;2;5;5;3;1;1;3;0;1
188;PR116;160;20130429;2;2;5;3;1;2;1;2;1
189;PR1160;1348;20160614;5;5;3;2;2;3;1;0;1
190;PR1161;947;20160614;2;5;2;3;1;2;1;1;1
191;PR1162;962;20160616;3;3;2;5;3;3;1;2;1
192;PR1163;181;20160617;2;1;2;1;3;4;2;1;1
193;PR1164;477;20160617;3;5;3;2;2;3;1;2;1
194;PR1165;3;20160619;3;5;3;5;2;3;2;2;1
195;PR1166;1407;20160619;3;3;5;5;3;3;3;0;1
196;PR1167;1079;20160621;2;1;3;2;3;3;1;0;1
197;PR1168;475;20160621;3;2;5;3;1;2;1;2;1
198;PR1169;263;20160622;3;3;2;5;2;2;1;2;1
199;PR117;1253;20130429;3;5;2;5;1;2;1;0;1
200;PR1170;344;20160623;5;2;2;3;2;2;3;1;1
201;PR1171;778;20160623;3;3;2;5;3;4;1;1;1
202;PR1172;871;20160624;3;1;5;3;3;3;3;0;1
203;PR1173;432;20160626;2;2;3;5;1;2;1;0;1
204;PR1174;1344;20160626;2;1;2;1;2;3;3;1;1
205;PR1175;733;20160626;2;3;2;3;2;2;1;2;1
206;PR1176;380;20160626;5;5;5;1;3;3;2;1;1
207;PR1177;1097;20160628;3;5;5;2;2;2;2;0;1
208;PR1178;1114;20160628;5;5;3;2;1;1;3;0;1
209;PR1179;249;20160629;3;3;2;3;3;3;1;1;1
210;PR118;1138;20130430;2;1;1;5;2;3;1;1;1
211;PR1180;429;20160701;5;3;1;3;1;2;3;1;1
212;PR1181;496;20160701;2;3;1;5;2;2;1;1;1
213;PR1182;1456;20160701;3;3;2;3;1;1;3;0;1
214;PR1183;851;20160701;2;3;5;5;3;3;3;0;1
215;PR1184;1439;20160703;3;2;5;1;1;1;1;0;1
216;PR1185;271;20160705;3;1;3;3;3;3;3;0;1
217;PR1186;368;20160706;2;1;1;5;1;2;3;2;1
218;PR1187;791;20160708;5;2;5;2;2;2;3;1;1
219;PR1188;990;20160708;3;2;2;1;3;3;2;2;1
220;PR1189;95;20160709;2;1;1;3;3;3;1;2;1
221;PR119;911;20130501;5;1;1;3;3;4;1;0;1
222;PR1190;708;20160709;5;2;1;5;3;4;3;1;1
223;PR1191;868;20160709;2;1;5;3;1;2;3;1;1
224;PR1192;1304;20160710;2;1;2;2;3;4;3;1;1
225;PR1193;120;20160710;5;5;2;2;3;4;3;0;1
226;PR1194;914;20160710;2;5;2;3;2;2;3;1;1
227;PR1195;577;20160711;3;2;5;2;2;2;1;1;1
228;PR1196;763;20160713;5;1;2;1;1;1;2;0;1
229;PR1197;1307;20160715;5;3;3;5;2;3;3;1;1
230;PR1198;210;20160715;2;2;3;1;3;3;1;1;1
231;PR1199;1247;20160717;2;2;2;2;1;2;2;1;1
232;PR12;1169;20130111;5;1;2;2;3;4;2;0;1
233;PR120;1211;20130501;2;3;1;1;3;4;3;1;1
234;PR1200;1246;20160718;5;2;3;1;3;3;2;0;1
235;PR1201;1385;20160718;5;1;1;5;1;2;2;2;1
236;PR1202;1406;20160718;5;3;2;2;2;2;3;1;1
237;PR1203;1427;20160719;2;3;2;5;1;2;1;1;1
238;PR1204;1096;20160719;2;1;3;2;2;3;1;0;1
239;PR1205;279;20160719;3;5;1;2;1;2;1;0;1
240;PR1206;955;20160720;5;3;3;5;2;2;2;1;1
241;PR1207;373;20160722;2;3;1;5;1;1;2;0;1
242;PR1208;889;20160725;5;2;1;3;1;2;1;1;1
243;PR1209;1218;20160725;2;1;3;2;3;4;2;1;1
244;PR121;289;20130502;2;5;5;1;1;1;2;0;1
245;PR1210;703;20160727;3;3;1;2;1;1;3;3;1
246;PR1211;1398;20160728;2;1;1;2;3;3;1;0;1
247;PR1212;1226;20160728;2;3;3;5;1;2;2;3;1
248;PR1213;1159;20160730;2;2;1;5;2;2;2;0;1
249;PR1214;112;20160730;2;1;5;5;2;2;1;1;1
250;PR1215;228;20160731;3;5;5;3;1;1;3;2;1
251;PR1216;701;20160801;5;1;2;5;2;2;1;1;1
252;PR1217;602;20160804;5;5;3;5;2;3;1;1;1
253;PR1218;483;20160804;3;2;2;3;3;3;3;0;1
254;PR1219;1369;20160804;3;3;2;5;3;3;3;3;1
255;PR122;1354;20130502;3;5;3;1;1;2;1;3;1
256;PR1220;607;20160806;2;1;5;3;1;2;2;1;1
257;PR1221;1088;20160806;3;1;2;5;3;3;2;1;1
258;PR1222;502;20160807;2;3;3;2;2;2;1;1;1
259;PR1223;525;20160809;2;3;5;2;1;1;1;1;1
260;PR1224;246;20160810;5;3;3;3;3;4;1;1;1
261;PR1225;860;20160812;3;2;5;3;1;2;3;0;1
262;PR1226;1410;20160812;5;3;5;1;3;4;2;3;1
263;PR1227;23;20160813;2;5;1;1;2;3;2;1;1
264;PR1228;400;20160813;5;5;1;1;3;3;1;0;1
265;PR1229;859;20160813;2;1;5;2;1;1;1;2;1
266;PR123;133;20130503;5;3;3;3;1;1;3;0;1
267;PR1230;993;20160814;2;2;1;5;3;3;3;1;1
268;PR1231;557;20160815;5;1;3;5;1;1;3;1;1
269;PR1232;1192;20160815;5;1;5;5;2;2;2;0;1
270;PR1233;244;20160816;3;2;3;5;1;2;1;0;1
271;PR1234;307;20160817;2;5;3;2;3;4;2;0;1
272;PR1235;466;20160817;5;2;5;3;3;4;2;1;1
273;PR1236;1048;20160818;3;5;3;2;2;2;3;0;1
274;PR1237;1286;20160818;5;5;3;2;2;3;3;1;1
275;PR1238;1429;20160821;5;5;3;1;2;2;1;1;1
276;PR1239;237;20160821;2;1;1;1;2;2;1;0;1
277;PR124;1202;20130504;3;5;3;3;1;2;3;0;1
278;PR1240;555;20160821;3;2;2;2;3;3;2;0;1
279;PR1241;143;20160823;3;1;3;5;1;2;3;3;1
280;PR1242;1193;20160825;3;3;1;3;3;4;3;3;1
281;PR1243;486;20160825;3;5;5;3;2;2;1;0;1
282;PR1244;451;20160827;2;5;5;3;3;3;3;1;1
283;PR1245;121;20160901;2;5;3;2;2;3;3;0;1
284;PR1246;261;20160902;2;5;2;5;2;2;2;3;1
285;PR1247;1135;20160902;2;1;2;1;2;3;3;1;1
286;PR1248;1227;20160903;2;5;2;1;3;3;2;2;1
287;PR1249;315;20160904;3;1;5;2;1;1;3;0;1
288;PR125;127;20130505;5;3;5;3;2;2;1;0;1
289;PR1250;1000;20160906;5;5;2;3;1;2;3;1;1
290;PR1251;1186;20160908;3;3;5;2;2;3;2;1;1
291;PR1252;1147;20160909;5;1;1;2;1;1;1;3;1
292;PR1253;174;20160911;5;5;3;1;1;2;1;0;1
293;PR1254;376;20160912;2;5;5;1;1;2;1;3;1
294;PR1255;560;20160914;5;5;1;1;3;4;2;3;1
295;PR1256;347;20160916;3;5;5;1;3;3;2;0;1
296;PR1257;935;20160916;2;2;5;2;3;4;3;3;1
297;PR1258;275;20160920;5;1;5;1;3;3;1;1;1
298;PR1259;294;20160921;5;3;1;2;1;2;3;0;1
299;PR126;981;20130505;5;3;2;3;3;3;3;0;1
300;PR1260;51;20160922;3;3;3;5;3;3;2;0;1
301;PR1261;1336;20160924;5;1;5;3;1;2;2;1;1
302;PR1262;727;20160926;3;5;1;3;1;2;2;1;1
303;PR1263;1356;20160926;3;5;3;3;3;3;2;1;1
304;PR1264;396;20160927;3;1;3;3;3;4;1;0;1
305;PR1265;172;20160928;3;5;2;1;2;2;2;0;1
306;PR1266;817;20160928;2;3;3;2;1;1;2;1;1
307;PR1267;1430;20160928;3;3;3;5;2;2;2;1;1
308;PR1268;1058;20160929;5;3;5;2;1;1;2;2;1
309;PR1269;119;20161001;3;2;5;3;2;3;2;2;1
310;PR127;1466;20130506;5;1;5;5;3;3;2;2;1
311;PR1270;1020;20161001;2;5;2;5;2;3;3;1;1
312;PR1271;777;20161001;3;5;1;2;3;3;1;3;1
313;PR1272;256;20161001;3;3;3;3;1;2;2;1;1
314;PR1273;224;20161003;2;1;1;1;1;1;1;2;1
315;PR1274;746;20161004;2;3;1;1;3;3;2;2;1
316;PR1275;12;20161008;2;5;2;5;2;3;2;2;1
317;PR1276;738;20161009;5;5;2;3;1;1;1;1;1
318;PR1277;1361;20161009;5;3;2;3;3;3;3;1;1
319;PR1278;751;20161009;3;5;3;3;3;3;2;2;1
320;PR1279;1446;20161014;5;1;5;2;1;2;2;2;1
321;PR128;257;20130507;2;2;1;1;2;3;1;1;1
322;PR1280;388;20161017;3;3;5;1;1;2;2;1;1
323;PR1281;951;20161017;2;2;1;2;3;4;1;1;1
324;PR1282;657;20161018;5;2;3;1;2;3;1;0;1
325;PR1283;392;20161019;2;1;5;2;1;1;3;0;1
326;PR1284;648;20161020;3;3;1;2;1;1;1;2;1
327;PR1285;1167;20161020;5;1;1;5;3;4;3;1;1
328;PR1286;199;20161022;5;3;2;5;3;4;2;2;1
329;PR1287;265;20161025;2;5;1;5;3;4;1;1;1
330;PR1288;663;20161025;2;1;1;1;3;4;3;3;1
331;PR1289;1179;20161025;5;5;3;1;2;2;1;0;1
332;PR129;873;20130507;2;3;1;2;3;4;2;1;1
333;PR1290;881;20161026;3;3;1;2;1;2;3;0;1
334;PR1291;1195;20161026;2;5;5;3;2;3;1;0;1
335;PR1292;728;20161026;2;5;2;2;2;2;2;2;1
336;PR1293;794;20161028;2;3;3;1;1;2;1;2;1
337;PR1294;892;20161029;2;3;1;2;3;3;1;0;1
338;PR1295;276;20161030;2;2;1;3;3;3;3;0;1
339;PR1296;574;20161031;2;2;2;2;2;2;2;1;1
340;PR1297;55;20161031;3;5;5;3;2;2;2;1;1
341;PR1298;709;20161031;2;5;3;5;2;3;3;1;1
342;PR1299;1101;20161101;2;2;1;3;2;2;2;2;1
343;PR13;687;20130112;5;2;5;3;2;3;3;2;1
344;PR130;234;20130509;2;5;1;3;3;4;3;2;1
345;PR1300;1358;20161102;2;2;2;5;2;2;1;2;1
346;PR1301;729;20161103;3;2;2;2;1;1;3;1;1
347;PR1302;1276;20161104;3;3;2;2;3;4;3;0;1
348;PR1303;1362;20161105;5;1;3;1;1;2;2;2;1
349;PR1304;124;20161106;5;1;3;5;3;3;3;0;1
350;PR1305;166;20161106;3;1;1;2;1;1;2;1;1
351;PR1306;608;20161106;5;2;2;3;3;4;1;1;1
352;PR1307;1464;20161107;5;1;3;3;2;3;1;1;1
353;PR1308;426;20161107;5;2;3;1;1;1;2;2;1
354;PR1309;995;20161108;3;2;1;2;3;3;2;0;1
355;PR131;1125;20130509;5;2;1;1;3;3;2;2;1
356;PR1310;1089;20161109;2;5;3;2;3;4;1;2;1
357;PR1311;961;20161109;2;2;2;1;2;3;2;0;1
358;PR1312;449;20161110;3;1;1;1;3;4;1;3;1
359;PR1313;699;20161110;3;2;1;3;3;3;2;1;1
360;PR1314;341;20161111;3;5;2;1;2;2;3;2;1
361;PR1315;1412;20161111;3;3;5;2;2;3;3;2;1
362;PR1316;242;20161111;3;2;2;3;1;2;2;0;1
363;PR1317;853;20161114;3;2;2;5;3;3;2;2;1
364;PR1318;1116;20161117;3;1;5;1;3;3;3;0;1
365;PR1319;1453;20161117;5;3;2;3;1;2;3;1;1
366;PR132;963;20130509;3;1;2;5;2;3;3;1;1
367;PR1320;1107;20161118;2;2;1;1;1;1;1;0;1
368;PR1321;438;20161118;5;3;3;1;1;1;2;0;1
369;PR1322;7;20161119;2;3;2;1;3;4;2;0;1
370;PR1323;54;20161120;3;5;1;3;3;4;2;3;1
371;PR1324;730;20161121;5;2;5;2;1;2;2;1;1
372;PR1325;1103;20161122;3;3;1;5;2;2;3;1;1
373;PR1326;145;20161123;2;3;5;2;2;2;3;0;1
374;PR1327;526;20161125;3;3;2;1;1;2;2;1;1
375;PR1328;623;20161125;3;5;5;2;2;2;3;0;1
376;PR1329;1426;20161125;2;3;2;1;2;2;3;1;1
377;PR133;391;20130510;2;3;5;2;2;3;1;0;1
378;PR1330;314;20161126;3;3;3;2;3;4;2;0;1
379;PR1331;116;20161127;3;5;2;5;2;2;1;0;1
380;PR1332;413;20161128;2;2;2;1;2;3;2;2;1
381;PR1333;253;20161128;5;2;3;2;2;2;2;2;1
382;PR1334;1124;20161129;2;1;1;2;1;1;1;2;1
383;PR1335;900;20161201;3;3;2;2;1;2;1;0;1
384;PR1336;1394;20161201;5;5;2;2;3;3;1;0;1
385;PR1337;408;20161202;3;3;2;5;1;2;1;0;1
386;PR1338;1076;20161203;3;3;1;5;1;1;1;0;1
387;PR1339;1277;20161203;2;2;3;1;1;1;1;0;1
388;PR134;941;20130512;5;3;1;3;1;2;1;0;1
389;PR1340;334;20161205;3;1;2;3;1;1;2;0;1
390;PR1341;948;20161205;2;5;3;2;2;3;3;1;1
391;PR1342;1293;20161205;3;3;5;1;2;2;2;0;1
392;PR1343;1206;20161205;3;5;2;2;2;2;2;3;1
393;PR1344;1133;20161207;5;2;5;5;2;3;3;1;1
394;PR1345;511;20161208;5;2;5;3;1;2;3;1;1
395;PR1346;1057;20161208;3;1;5;3;2;3;3;3;1
396;PR1347;582;20161209;2;1;5;5;1;2;1;1;1
397;PR1348;504;20161209;3;1;2;1;1;1;2;1;1
398;PR1349;1184;20161211;3;5;2;5;2;3;2;0;1
399;PR135;171;20130513;3;2;2;1;3;3;1;1;1
400;PR1350;1331;20161213;3;5;3;1;3;4;2;1;1
401;PR1351;1325;20161213;3;5;2;5;1;2;3;1;1
402;PR1352;316;20161213;3;2;3;2;3;3;2;2;1
403;PR1353;1324;20161216;5;2;2;3;2;3;2;0;1
404;PR1354;1291;20161217;5;2;3;1;1;2;3;2;1
405;PR1355;879;20161218;3;1;1;5;1;2;2;2;1
406;PR1356;991;20161219;5;3;5;2;2;3;1;0;1
407;PR1357;1272;20161219;5;3;2;1;3;4;1;1;1
408;PR1358;78;20161220;2;2;2;1;1;1;3;1;1
409;PR1359;533;20161220;5;3;1;2;3;4;2;0;1
410;PR136;363;20130513;2;3;5;2;3;3;2;0;1
411;PR1360;916;20161222;2;1;3;2;2;3;2;0;1
412;PR1361;1432;20161222;3;3;5;5;2;2;3;1;1
413;PR1362;38;20161222;2;3;3;2;3;4;3;2;1
414;PR1363;1329;20161224;5;1;3;1;2;3;1;0;1
415;PR1364;579;20161224;5;1;2;2;1;1;3;1;1
416;PR1365;1240;20161224;3;2;2;1;1;2;1;1;1
417;PR1366;634;20161225;3;1;5;1;3;3;2;1;1
418;PR1367;950;20161225;3;5;1;1;2;2;1;1;1
419;PR1368;431;20161226;3;2;1;3;3;3;2;1;1
420;PR1369;580;20161227;3;1;3;5;3;4;1;3;1
421;PR137;370;20130514;5;1;3;5;2;3;2;1;1
422;PR1370;141;20161228;3;5;2;2;1;2;3;0;1
423;PR1371;22;20161229;1;3;1;2;1;2;1;3;1
424;PR1372;667;20161230;3;4;1;2;2;2;1;0;1
425;PR1373;971;20161230;2;1;1;4;3;4;3;1;1
426;PR1374;194;20161230;1;4;4;3;3;3;3;3;1
427;PR1375;356;20161231;3;3;2;3;1;1;2;3;1
428;PR1376;695;20161231;4;2;1;4;3;4;2;1;1
429;PR1377;696;20170101;1;2;4;3;1;2;3;1;1
430;PR1378;1040;20170102;4;4;3;3;1;2;1;2;1
431;PR1379;1417;20170102;1;1;2;4;1;2;1;2;1
432;PR138;1149;20130514;2;2;1;2;2;3;3;2;1
433;PR1380;1112;20170102;5;1;5;2;3;4;3;0;1
434;PR1381;1289;20170102;3;2;3;3;3;4;2;0;1
435;PR1382;37;20170103;2;1;2;1;3;3;3;2;1
436;PR1383;472;20170103;2;3;5;5;3;3;3;1;1
437;PR1384;1433;20170103;2;5;5;1;1;1;1;2;1
438;PR1385;1094;20170104;3;5;3;5;3;3;1;0;1
