refund_id,order_id,refund_reason,refund_type,refund_amount,refund_method,refund_status,initiated_at,processed_at
RF0000159,O0003431,restaurant_issue,full,881.0,upi,processed,2025-04-14 03:07:20,2025-04-18 03:07:20
RF0000160,O0003503,user_cancel,partial,120.33,upi,processed,2022-10-03 12:08:29,2022-10-08 12:08:29
RF0000161,O0003592,delay,partial,-1.0,wallet,processed,2024-06-28 15:32:25,2024-06-29 15:32:25
RF0000162,O0003639,user_cancel,full,882.0,wallet,processed,2025-06-23 08:13:21,2025-06-28 08:13:21
RF0000163,O0003659,restaurant_issue,partial,124.21,upi,processed,2025-12-23 02:32:36,2025-12-24 02:32:36
RF0000164,O0003680,user_cancel,partial,175.24,card,processed,2024-07-27 11:49:56,2024-07-29 11:49:56
RF0000165,O0003704,restaurant_issue,partial,425.48,cash,processed,2024-12-20 07:22:44,2024-12-23 07:22:44
RF0000166,O0003752,user_cancel,partial,430.74,cash,processed,2024-01-10 23:56:43,2024-01-12 23:56:43
RF0000167,O0003773,delay,partial,768.3,card,processed,2022-11-19 10:25:22,2022-11-24 10:25:22
RF0000168,O0003781,user_cancel,partial,244.92,card,processed,2024-10-23 22:46:14,2024-10-25 22:46:14
RF0000169,O0003815,delay,full,1846.0,card,processed,2025-04-19 18:56:00,2025-04-20 18:56:00
RF0000170,O0003830,user_cancel,partial,297.56,wallet,processed,2023-11-27 06:28:48,2023-11-28 06:28:48
RF0000171,O0003843,delay,partial,824.87,wallet,processed,2024-08-13 07:32:30,2024-08-17 07:32:30
RF0000172,O0003852,user_cancel,partial,565.13,wallet,processed,2023-10-09 06:48:14,2023-10-13 06:48:14
RF0000173,O0003867,restaurant_issue,partial,661.63,card,processed,2024-10-18 11:45:25,2024-10-19 11:45:25
RF0000174,O0003909,user_cancel,partial,471.12,upi,processed!!!,2024-08-11 09:52:03,2024-08-16 09:52:03
RF0000175,O0003922,restaurant_issue,partial,999.0,wallet,processed,2024-11-07 11:13:30,2024-11-11 11:13:30
RF0000176,O0003963,delay,full,526.0,card,pending,2022-08-16 15:47:47,2022-08-17 15:47:47
RF0000177,O0003986,user_cancel,partial,1235.29,cash,processed,2023-10-17 12:38:12,2023-10-20 12:38:12
RF0000178,O0003993,user_cancel,partial,1246.49,cash,failed,2025-11-30 18:58:32,2025-12-02 18:58:32
RF0000179,O0003998,user_cancel,partial,346.43,wallet,processed,2024-08-01 03:43:07,2024-08-03 03:43:07
RF0000180,O0004013,delay,partial,1185.1,wallet,processed,2022-07-26 07:33:19,2022-07-29 07:33:19
RF0000181,O0004037,user_cancel,full,754.0,wallet,processed,2024-05-24 11:25:14,2024-05-25 11:25:14
RF0000182,O0004094,restaurant_issue,full,824.0,wallet,processed,2023-11-08 11:00:09,2023-11-13 11:00:09
RF0000183,O0004098,user_cancel,full,213.0,upi,processed,2021-10-20 04:19:58,2021-10-22 04:19:58
RF0000184,O0004099,delay,full###,1624.0,wallet,processed,2025-01-14 10:24:39,2025-01-15 10:24:39
RF0000185,O0004211,restaurant_issue,partial###,1046.97,cash,pending,2025-10-07 05:36:30,2025-10-12 05:36:30
RF0000186,O0004251,user_cancel,partial,823.34,cash,failed,2024-01-31 08:08:49,2024-02-02 08:08:49
RF0000187,O0004277,delay,partial,563.89,upi,processed,2024-09-26 21:42:31,2024-10-01 21:42:31
RF0000188,O0004354,delay,partial,232.08,wallet,processed,2024-05-17 15:04:04,2024-05-20 15:04:04
RF0000189,O0004381,delay ,partial,802.14,wallet,processed,2023-08-27 10:38:21,2023-09-01 10:38:21
RF0000190,O0004401,delay,partial,333.59,wallet,processed,2023-03-25 02:28:25,2023-03-29 02:28:25
RF0000191,O0004411,restaurant_issue,partial,1183.34,wallet,processed,2024-06-11 08:41:50,2024-06-12 08:41:50
RF0000192,O0004436,delay,partial,484.4,wallet,processed,2021-08-03 07:44:28,2021-08-05 07:44:28
RF0000193,O0004451,user_cancel,full,398.0,card,processed,2025-12-04 19:05:11,2025-12-06 19:05:11
RF0000194,O0004453,user_cancel,partial,345.51,upi,processed,2024-01-26 12:39:15,2024-01-29 12:39:15
RF0000195,O0004471,restaurant_issue,full,934.0,wallet,processed,2023-12-28 20:50:20,2024-01-02 20:50:20
RF0000196,O0004485,delay,partial,213.45,upi,processed!!!,2025-09-21 02:31:50,2025-09-23 02:31:50
RF0000197,O0004510,restaurant_issue,partial,1070.85,cash,pending,2024-02-26 22:38:57,2024-02-27 22:38:57
RF0000198,O0004571,delay,partial,483.58,cash,processed,2025-04-03 03:53:05,2025-04-05 03:53:05
RF0000199,O0004595,delay ,full,530.0,upi,processed,2025-10-31 20:30:27,2025-11-05 20:30:27
RF0000200,O0004659,delay,full###,794.0,wallet,pending,2025-04-28 20:01:18,2025-05-01 20:01:18
RF0000201,O0004712,user_cancel,full,228.0,upi,processed,2024-06-08 00:07:01,2024-06-11 00:07:01
RF0000202,O0004724,user_cancel,partial,613.05,card,processed,2023-11-21 01:26:50,2023-11-26 01:26:50
RF0000203,O0004808,delay,partial,313.73,cash,processed,2025-09-03 23:47:14,2025-09-08 23:47:14
RF0000204,O0004810,restaurant_issue,partial,973.26,card,processed,2025-03-30 00:48:20,2025-04-04 00:48:20
RF0000205,O0004826,user_cancel,partial,255.88,upi,processed,2023-02-21 20:21:00,2023-02-26 20:21:00
RF0000206,O0004879,user_cancel,partial,114.61,wallet,processed,2024-10-07 14:45:21,2024-10-10 14:45:21
RF0000207,O0004884,delay,full###,458.0,wallet,processed,2024-09-22 14:46:52,2024-09-26 14:46:52
RF0000208,O0004913,restaurant_issue,full,699.0,upi,processed,2024-12-14 08:44:23,2024-12-15 08:44:23
RF0000209,O0004919,restaurant_issue,full,816.0,upi,processed,2025-12-11 19:50:01,2025-12-12 19:50:01
RF0000210,O0004966,delay,partial,208.18,upi,processed!!!,2025-04-11 21:56:28,2025-04-12 21:56:28
RF0000211,O0005007,user_cancel,partial,784.16,cash,processed,,2025-05-08 11:35:57
RF0000212,O0005014,user_cancel,full,869.0,cash,processed,2024-08-01 02:04:49,2024-08-02 02:04:49
RF0000213,O0005046,user_cancel,partial,423.68,cash,processed,2025-05-15 12:22:48,2025-05-19 12:22:48
RF0000214,O0005050,user_cancel,partial,109.96,card,processed,2024-12-15 07:52:36,2024-12-20 07:52:36
RF0000215,O0005058,delay,full,640.0,wallet,processed,2024-07-16 16:40:47,2024-07-20 16:40:47
RF0000216,O0005110,delay,partial,171.64,upi,processed,2025-10-16 00:24:38,2025-10-17 00:24:38
RF0000217,O0005113,user_cancel,partial,166.15,wallet,processed,2025-04-01 00:42:32,2025-04-05 00:42:32
RF0000218,O0005161,delay,full,618.0,upi,processed,2024-07-14 21:56:43,2024-07-17 21:56:43
RF0000219,O0005165,delay,full,1030.0,card,processed,2025-11-18 02:08:17,2025-11-21 02:08:17
RF0000220,O0005171,restaurant_issue,partial,227.02,cash,processed,2024-09-04 15:58:44,2024-09-05 15:58:44
RF0000221,O0005234,user_cancel,partial,1431.07,card,processed,2023-06-25 08:51:24,2023-06-26 08:51:24
RF0000222,O0005309,delay,partial,312.62,card,processed,2024-06-17 12:21:55,2024-06-18 12:21:55
RF0000223,O0005313,delay,partial,451.21,upi,processed,2024-01-27 17:51:58,2024-01-29 17:51:58
RF0000224,O0005318,restaurant_issue,partial,349.74,cash,processed,2023-05-21 09:03:07,2023-05-23 09:03:07
RF0000225,O0005320,restaurant_issue,partial,282.92,upi,processed,2025-11-03 08:43:03,2025-11-04 08:43:03
RF0000226,O0005346,delay,partial,567.87,card,processed,2024-01-25 16:39:28,2024-01-29 16:39:28
RF0000227,O0005354,delay,full,2402.0,card,processed,2024-12-01 03:36:19,2024-12-04 03:36:19
RF0000228,O0005370,user_cancel,partial,136.92,wallet,processed,2022-10-07 13:31:12,2022-10-12 13:31:12
RF0000229,O0005374,delay,full,1408.0,cash,processed,2024-12-12 02:57:15,2024-12-17 02:57:15
RF0000230,O0005410,restaurant_issue,partial,843.39,cash,processed!!!,2025-10-17 00:55:29,2025-10-21 00:55:29
RF0000231,O0005428,restaurant_issue,partial,594.91,upi,pending,2025-06-04 06:49:02,2025-06-08 06:49:02
RF0000232,O0005429,restaurant_issue,full,316.0,card,processed,2022-07-07 01:31:27,2022-07-08 01:31:27
RF0000233,O0005433,restaurant_issue,full,522.0,cash,processed,2025-03-06 15:22:49,2025-03-11 15:22:49
RF0000234,O0005441,user_cancel ,partial,513.22,cash,processed,2023-02-06 21:18:47,2023-02-09 21:18:47
RF0000235,O0005443,user_cancel,full,982.0,wallet,processed,2023-05-26 22:52:44,2023-05-30 22:52:44
RF0000236,O0005447,user_cancel,full,612.0,cash,processed,2025-05-30 09:37:08,2025-05-31 09:37:08
RF0000237,O0005449,user_cancel,partial,915.86,card,pending,2024-02-16 22:51:03,2024-02-18 22:51:03
RF0000238,O0005510,restaurant_issue,partial,808.23,wallet,failed,2025-04-26 16:12:05,2025-04-27 16:12:05
RF0000239,O0005526,user_cancel,full,511.0,wallet,processed,2024-04-14 17:33:56,2024-04-15 17:33:56
RF0000240,O0005578,user_cancel,partial,80.77,cash,processed,2025-08-11 23:26:33,2025-08-15 23:26:33
RF0000241,O0005584,restaurant_issue,full,1981.0,card,pending,2023-01-04 15:08:16,2023-01-06 15:08:16
RF0000242,O0005618,restaurant_issue,partial,355.11,cash,processed,2025-04-23 09:04:37,2025-04-27 09:04:37
RF0000243,O0005664,restaurant_issue,full,782.0,upi,processed,2024-04-22 05:08:16,2024-04-23 05:08:16
RF0000244,O0005671,user_cancel,full,278.0,card,processed,2023-06-09 23:54:43,2023-06-12 23:54:43
RF0000245,O0005723,user_cancel,partial,824.4,wallet,processed,2025-07-20 17:35:01,2025-07-21 17:35:01
RF0000246,O0005763,delay,partial,289.0,cash,processed,2023-04-11 18:49:32,2023-04-15 18:49:32
RF0000247,O0005769,user_cancel,partial,-1.0,upi,processed,2025-06-14 00:09:16,2025-06-16 00:09:16
RF0000248,O0005799,restaurant_issue,full,720.0,wallet,pending,2024-08-22 15:03:19,2024-08-23 15:03:19
RF0000249,O0005809,delay,partial,504.96,upi,processed,2025-06-27 17:31:34,2025-06-28 17:31:34
RF0000250,O0005829,delay,full,586.0,upi,processed,2025-03-08 04:06:30,2025-03-09 04:06:30
RF0000251,O0005869,delay,partial,1191.4,cash,failed,2023-09-15 02:21:51,2023-09-20 02:21:51
