review_id,order_id,rating,food_rating,delivery_rating,review_text,created_at
RV0000027,O0084772,4,4,5,Yummy,2025-08-18 19:41:34
RV0000028,O0128505,4,3,4,Yummy,2023-12-06 01:28:54
RV0000029,O0020843,5,5,5,Amazing food!,2024-10-30 04:56:46
RV0000030,O0277175,3,3,3,Taste was fine,2025-05-02 05:33:09
RV0000031,O0276386,3,2,3,Okay food,2025-07-13 12:44:56
RV0000032,O0138177,3,2,3,Taste was fine,2025-11-29 08:54:16
RV0000033,O0054331,1,1,1,Never ordering again,2023-08-22 17:38:30
RV0000034,O0108876,5,5,5,Amazing food!,2023-06-06 23:52:43
RV0000035,O0013405,5,5,4,5 stars!,2022-07-14 11:11:07
RV0000036,O0167206,99999,5,5,Best biryani ever,2025-04-09 18:10:30
RV0000037,O0242795,3,3,2,Okay food,2023-05-28 04:24:45
RV0000038,O0109388,4,4,5,Would recommend,2024-05-15 19:35:18
RV0000039,O0153558,5,5,5,Best biryani ever,2024-03-18 03:45:07
RV0000040,O0240332,5,4,4,Will order again,2023-05-23 02:03:06
RV0000041,O0138569,4,4,4,Value for money,2025-10-18 23:44:54
RV0000042,O0120978,5,5,5,Will order again,2024-02-08 19:36:51
RV0000043,O0202371,5,5,4,Loved it!,2023-01-07 04:14:30
RV0000044,O0150167,5,5,5,Fantastic taste,2025-07-08 22:13:46
RV0000045,O0075465,4,99999,4,Tasty and quick,2024-11-26 16:18:28
RV0000046,O0155173,2,2,1,Missing item,2024-12-23 05:54:24
RV0000047,O0174765,5,4,4,Best biryani ever,2024-12-27 21:07:35
RV0000048,O0163475,4,99999,5,Value for money,2025-06-09 10:34:15
RV0000049,O0027639,4,4,3,Yummy,2025-11-17 16:14:36
RV0000050,O0218817,3,3,3,Expected more,2025-05-27 09:52:56
RV0000051,O0149527,4,5,3,Value for money,2024-04-09 11:10:31
RV0000052,O0001792,3,2,2,Nothing special,2022-07-24 17:08:31
RV0000053,O0158758,5,5,5,Amazing food!,2023-08-07 04:22:40
RV0000054,O0106148,4,99999,3,Would recommend,2024-12-19 06:24:46
RV0000055,O0239178,4,3,4,Good packaging,2025-11-25 00:04:54
RV0000056,O0097888,5,5,5,Perfectly packed,2024-09-27 11:13:02
RV0000057,O0270044,4,3,4,Liked it,2022-01-06 16:29:19
RV0000058,O0115420,5,5,5,Fantastic taste,2022-05-16 12:32:30
RV0000059,O0049378,4,3,3,Decent meal,2025-02-11 23:21:49
RV0000060,O0283696,4,4,5,Good food,2024-03-15 12:58:36
RV0000061,O0181090,4,4,5,Good food,2023-02-06 14:00:12
RV0000062,O0203087,2,1,2,Slightly disappointing,2024-08-11 14:24:37
RV0000063,O0258094,3,3,3,Just okay,2025-11-09 20:46:42
RV0000064,O0218816,4,4,3,Decent meal,2024-07-06 19:25:42
RV0000065,O0251043,4,4,3,Pretty good@@@,2023-12-10 12:53:58
RV0000066,O0065985,5,5,5,Loved it!,2025-10-28 00:07:42
RV0000067,O0110012,4,4,3,Yummy,2025-07-25 15:31:43
RV0000068,O0270211,5,4,5,Fantastic taste,2025-03-07 12:32:38
RV0000069,O0001831,4,3,3,Pretty good,2025-11-29 03:41:17
RV0000070,O0250935,5,5,5,Excellent!,2022-05-10 23:16:06
RV0000071,O0103915,3,4,3,It was alright,2025-09-28 07:17:38
RV0000072,O0099580,2,2,1,Poor quality,2025-01-24 17:21:39
RV0000073,O0043781,2,2,2,Below expectations,2023-07-08 06:41:26
RV0000074,O0064968,4,4,4,Value for money,2025-04-22 22:15:26
RV0000075,O0232728,4,4,5,Value for money,2023-12-19 22:03:44
RV0000076,O0064142,4,5,4,Good packaging,2025-04-26 09:31:41
RV0000077,O0153228,4,5,4,Value for money,2025-06-16 09:51:17
RV0000078,O0068540,3,2,3,Expected more,2024-03-24 21:32:38
RV0000079,O0143792,4,4,5,Nice experience@@@,2025-07-02 20:06:58
RV0000080,O0037746,4,3,5,Yummy,2025-04-01 07:23:49
RV0000081,O0294792,4,4,-1,Pretty good,2025-09-08 09:33:13
RV0000082,O0122180,2,3,2,Poor quality,2024-12-04 09:55:36
RV0000083,O0220742,4,4,4,Good packaging,2023-11-09 01:32:04
RV0000084,O0061471,4,4,5,Yummy,2024-08-26 07:50:51
RV0000085,O0005445,5,4,5,Will order again,2024-02-11 02:15:51
RV0000086,O0298094,4,3,5,Yummy,2024-05-02 16:25:31
RV0000087,O0170438,2,1,1,Slightly disappointing,2024-04-10 15:41:15
RV0000088,O0093548,5,5,5,Will order again,2025-07-26 19:53:42
RV0000089,O0124236,2,2,1,Packaging issue,2024-12-30 16:49:14
RV0000090,O0127610,3,3,3,Average,2023-12-19 08:20:51
RV0000091,O0268385,5,5,5,5 stars!,2025-06-30 20:12:45
RV0000092,O0080267,4,5,4,Would recommend,2025-12-18 10:27:33
RV0000093,O0207818,4,99999,4,Would recommend,2025-12-19 14:33:18
RV0000094,O0106259,4,5,4,Value for money@@@,2023-10-23 16:01:00
RV0000095,O0001627,2,99999,1,Slightly disappointing,2025-10-19 15:06:18
RV0000096,O0079274,4,4,4,Nice experience,2025-11-21 22:16:13
RV0000097,O0148184,4,3,5,Good packaging,2023-07-17 22:53:31
RV0000098,O0167661,2,2,2,Poor quality,2021-12-23 15:54:49
RV0000099,O0031507,5,5,5,5 stars!,2024-11-23 13:29:58
RV0000100,O0165216,5,4,5,Excellent!,2024-06-20 21:50:54
RV0000101,O0204714,3,4,3,Moderate quality,2025-06-23 12:57:57
RV0000102,O0039431,5,5,5,Will order again,2024-07-05 19:14:05
RV0000103,O0060180,5,5,5,Excellent!,2025-01-03 05:32:03
RV0000104,O0013590,4,4,3,Tasty and quick,2025-04-22 21:14:07
RV0000105,O0280020,4,4,4,Good packaging,2024-12-29 02:23:13
RV0000106,O0205866,5,4,5,Best biryani ever,2025-02-10 21:55:35
RV0000107,O0049070,5,5,5,Loved it!,2025-08-15 13:59:27
RV0000108,O0141287,2,99999,-1,Poor quality,2025-08-08 10:32:57
RV0000109,O0047458,4,3,-1,Tasty and quick,2024-10-19 14:54:06
RV0000110,O0275414,4,5,3,Good food,2026-01-02 00:31:32
RV0000111,O0192532,5,5,4,5 stars!,2025-04-21 12:36:58
RV0000112,O0256803,4,4,3,Nice experience,2023-12-22 05:51:55
RV0000113,O0274638,99999,5,3,Good packaging,2024-01-05 21:36:28
RV0000114,O0160709,4,3,3,Pretty good,2025-03-01 09:22:06
RV0000115,O0073660,5,4,4,Super fast delivery,2024-01-24 12:43:00
RV0000116,O0168131,3,2,2,Expected more,2024-12-14 06:10:51
RV0000117,O0208456,4,5,5,Liked it,2025-07-06 22:53:26
RV0000118,O0092784,5,5,4,5 stars!,2024-03-21 06:50:32
RV0000119,O0197964,99999,5,5,Best biryani ever,2022-04-15 07:50:52
RV0000120,O0199831,5,4,4,Fantastic taste,2025-06-28 08:39:33
RV0000121,O0122411,3,3,4,Okay food,2024-02-14 07:40:59
RV0000122,O0271996,4,4,4,Good food,2025-03-06 20:38:18
RV0000123,O0149610,4,5,4,Decent meal,2024-12-11 21:44:59
RV0000124,O0051578,5,5,5,Excellent!,2025-09-13 23:37:22
RV0000125,O0070346,3,4,3,Taste was fine,2024-04-26 06:38:07
RV0000126,O0117602,3,3,4,It was alright,2024-05-15 20:38:19
RV0000127,O0006746,4,4,3,Nice experience,2025-08-13 18:01:27
RV0000128,O0082778,5,5,5,Will order again,2023-12-01 15:50:08
RV0000129,O0161017,4,4,4,Good packaging,2021-11-18 13:35:32
RV0000130,O0058500,4,4,5,Good food,2024-09-27 01:07:09
RV0000131,O0160112,3,2,3,Acceptable,2025-12-08 18:05:25
RV0000132,O0012265,5,5,5,Fantastic taste,2025-12-02 09:36:58
RV0000133,O0205166,2,2,3,Missing item,2025-04-07 18:14:01
RV0000134,O0281444,4,5,4,Pretty good,2025-12-24 04:01:24
RV0000135,O0026536,5,5,5,Amazing food!,2023-12-23 10:00:11
RV0000136,O0082197,5,4,5,5 stars!,2021-09-15 22:34:16
RV0000137,O0295634,1,1,2,Cold food,2023-11-16 02:00:59
RV0000138,O0286440,99999,1,1,Wrong order,2025-05-29 08:52:09
RV0000139,O0221041,5,5,5,Fantastic taste,2024-05-26 20:29:25
RV0000140,O0220853,5,5,5,Loved it!@@@,2025-03-30 08:02:13
RV0000141,O0282734,5,4,4,5 stars!,2023-07-19 00:21:34
RV0000142,O0032633,4,4,3,Tasty and quick,2025-08-21 19:52:46
RV0000143,O0054588,4,4,4,Good packaging,2023-02-07 01:38:12
RV0000144,O0242201,3,3,3,Taste was fine,2022-08-16 05:11:08
RV0000145,O0056305,3,3,3,Taste was fine,2024-07-26 09:36:18
RV0000146,O0219922,4,4,3,Good food@@@,2024-02-29 06:25:06
RV0000147,O0044757,3,4,3,Nothing special,2024-12-25 09:50:21
RV0000148,O0028127,5,5,5,Amazing food!,2025-11-24 20:20:43
RV0000149,O0116790,5,5,4,Excellent!,2025-04-01 18:54:16
RV0000150,O0159291,5,5,4,Hot and fresh,2024-07-05 00:49:02
RV0000151,O0137913,5,5,5,Will order again,2022-12-24 19:13:22
RV0000152,O0200410,5,4,4,5 stars!,2024-09-18 16:35:22
RV0000153,O0272531,5,5,5,Super fast delivery,2022-07-14 11:51:20
RV0000154,O0147803,4,5,3,Yummy,2025-10-10 05:04:39
RV0000155,O0075780,4,4,3,Good packaging,2025-04-29 10:45:24
RV0000156,O0141812,2,3,1,Mediocre,2024-12-24 02:24:47
RV0000157,O0246702,4,4,3,Good packaging,2025-01-24 17:36:00
RV0000158,O0101372,2,1,2,Mediocre,2024-11-15 23:00:44
RV0000159,O0051896,4,4,5,Liked it,2025-10-05 20:57:24
RV0000160,O0151143,4,4,-1,Tasty and quick,2022-08-27 20:17:08
RV0000161,O0051751,3,3,3,Taste was fine,2023-04-09 07:45:11
RV0000162,O0107694,5,5,4,Amazing food!,2025-09-22 11:41:26
RV0000163,O0267603,4,4,4,Decent meal,2024-08-25 13:12:41
RV0000164,O0028064,99999,2,2,Wrong order,2023-11-02 00:33:24
RV0000165,O0108384,5,5,4,Hot and fresh,2024-11-15 17:10:09
RV0000166,O0251371,5,5,5,Perfectly packed,2022-03-10 19:06:34
RV0000167,O0031232,4,4,4,Liked it,2024-01-28 09:39:01
RV0000168,O0235235,5,5,5,Will order again,2021-10-02 05:58:37
RV0000169,O0102786,4,3,5,Decent meal,2024-05-29 17:40:34
RV0000170,O0126950,5,4,5,Best biryani ever,2025-07-01 06:54:11
RV0000171,O0119085,3,2,4,Average,2025-10-23 14:07:40
RV0000172,O0080163,4,5,5,Tasty and quick,2021-07-09 12:43:29
RV0000173,O0049826,3,2,2,Nothing special,2024-03-06 17:24:37
RV0000174,O0171964,4,5,3,Yummy,2025-06-28 16:41:25
RV0000175,O0157153,5,5,5,Excellent!,2023-03-25 20:03:13
RV0000176,O0102254,2,2,2,Meh,2024-12-11 23:21:56
RV0000177,O0140989,3,2,4,Just okay,2022-01-25 18:39:45
RV0000178,O0004141,4,3,5,Tasty and quick,2023-08-17 23:56:22
RV0000179,O0162142,4,4,5,Decent meal@@@,2025-05-31 22:08:40
RV0000180,O0187736,1,1,1,Wrong order,2025-07-25 21:04:59
RV0000181,O0125601,1,1,1,Too late,2025-11-04 10:47:49
RV0000182,O0280254,1,1,1,Never ordering again,2024-02-03 04:27:49
RV0000183,O0051603,4,4,3,Good food,2023-05-05 15:44:28
RV0000184,O0109799,5,5,5,Loved it!,2025-12-04 14:29:12
RV0000185,O0128943,5,4,5,Hot and fresh,2025-03-03 20:27:35
RV0000186,O0117403,4,4,3,Would recommend,2025-07-25 04:34:48
RV0000187,O0228194,5,5,5,Fantastic taste,2025-06-10 06:39:31
RV0000188,O0156419,5,5,5,5 stars!@@@,2023-10-10 19:58:23
RV0000189,O0080645,3,4,3,Could be better,2024-10-14 10:01:08
RV0000190,O0128839,5,5,4,Best biryani ever,2025-12-08 08:12:28
RV0000191,O0029819,5,5,4,Perfectly packed,2022-01-08 00:51:44
RV0000192,O0168741,5,5,4,Super fast delivery,2025-06-28 21:20:59
RV0000193,O0075825,5,5,5,Fantastic taste,2024-02-14 11:48:12
RV0000194,O0213643,3,3,2,Average,2023-05-09 04:25:59
RV0000195,O0079604,5,5,5,Super fast delivery,2025-09-20 08:49:57
RV0000196,O0023475,4,4,4,Decent meal,2024-11-22 04:29:45
RV0000197,O0124032,3,2,2,Just okay,2025-10-04 02:59:29
RV0000198,O0183484,4,5,4,Yummy,2025-10-19 08:50:31
RV0000199,O0179026,4,3,3,Value for money,2023-04-12 01:11:04
RV0000200,O0152839,3,4,4,Average,2025-12-27 12:35:42
RV0000201,O0248594,5,5,5,Excellent!,2025-03-20 18:37:47
RV0000202,O0121569,4,3,4,Nice experience,2024-03-12 12:04:32
RV0000203,O0015892,2,1,2,Below expectations,2023-10-24 20:10:44
RV0000204,O0089511,2,2,2,Missing item,2024-11-23 04:31:23
RV0000205,O0153984,5,5,5,Super fast delivery,2025-06-13 16:02:22
RV0000206,O0202318,3,3,4,Okay food,2021-06-11 22:20:49
RV0000207,O0232883,5,4,5,Amazing food!,2025-07-10 17:00:29
RV0000208,O0187652,4,3,4,Pretty good,2025-08-08 23:01:32
RV0000209,O0182440,5,5,5,Perfectly packed,2025-08-26 21:22:07
RV0000210,O0212868,5,5,5,Loved it!,2025-01-29 04:32:52
RV0000211,O0077706,5,5,5,Loved it!,2024-06-10 02:48:11
RV0000212,O0280294,3,2,3,Okay food,2024-08-11 10:37:07
RV0000213,O0158359,5,5,5,Super fast delivery,2025-05-02 21:39:00
RV0000214,O0150501,4,4,4,Liked it,2025-04-23 10:01:20
RV0000215,O0002164,5,4,5,Loved it!,2024-06-16 05:58:25
RV0000216,O0127642,5,4,5,Best biryani ever,2025-05-17 20:12:14
RV0000217,O0067304,5,5,5,Will order again,2025-08-15 11:49:20
RV0000218,O0039180,5,5,5,Will order again,2025-09-25 14:58:10
RV0000219,O0218844,5,5,5,Amazing food!,2024-11-01 05:41:00
RV0000220,O0137343,5,5,5,Fantastic taste,2025-10-21 10:01:26
RV0000221,O0104635,4,5,3,Good packaging,2025-04-23 12:59:41
RV0000222,O0233638,5,4,5,Best biryani ever,2024-04-09 11:51:55
RV0000223,O0252822,3,3,-1,Expected more,2025-10-29 08:59:07
RV0000224,O0153353,4,5,4,Decent meal,2025-11-18 22:51:56
RV0000225,O0208694,4,4,4,Good packaging,2023-05-29 20:47:36
RV0000226,O0084849,4,4,3,Would recommend,2024-03-31 07:58:42
RV0000227,O0034057,3,4,4,Moderate quality,2024-02-15 06:45:14
RV0000228,O0091009,5,5,5,Best biryani ever,2024-06-12 12:27:18
RV0000229,O0204199,5,5,5,5 stars!,2023-02-26 08:42:06
RV0000230,O0255009,5,5,5,Will order again,2023-04-06 04:25:59
RV0000231,O0207088,5,5,4,Loved it!,2023-01-19 08:58:49
RV0000232,O0202892,4,4,4,Value for money,2025-03-05 08:33:11
RV0000233,O0257365,4,5,3,Pretty good,2025-04-27 13:24:26
RV0000234,O0018199,5,5,5,Hot and fresh,2024-07-05 06:30:28
RV0000235,O0254282,4,4,5,Good packaging,2024-03-15 18:17:44
RV0000236,O0133056,5,4,5,Fantastic taste,2024-01-14 00:22:05
RV0000237,O0223796,4,4,5,Value for money,2024-08-23 04:35:12
RV0000238,O0079086,2,1,3,Taste was off,2025-05-12 23:30:04
RV0000239,O0053967,5,5,5,Excellent!,2025-05-25 02:09:32
RV0000240,O0187051,4,3,5,Pretty good,2023-01-27 06:03:23
RV0000241,O0186475,4,4,4,Value for money,2023-09-25 11:19:56
RV0000242,O0164734,3,4,2,Taste was fine,2025-09-11 07:12:09
RV0000243,O0100435,2,2,3,Mediocre,2024-08-20 13:35:19
RV0000244,O0019449,5,5,5,Best biryani ever,2025-11-07 12:54:47
RV0000245,O0069304,5,5,5,Loved it!,2025-04-27 23:45:06
RV0000246,O0182464,4,3,4,Nice experience,2025-03-28 01:43:24
RV0000247,O0130388,2,1,1,Taste was off,2024-08-29 08:34:19
RV0000248,O0070957,4,4,4,Tasty and quick,2025-08-02 14:49:05
RV0000249,O0031387,5,5,5,Excellent!,2025-10-21 07:39:54
RV0000250,O0099284,2,2,1,Taste was off,2024-04-11 03:18:05
RV0000251,O0191964,2,3,3,Taste was off,2025-04-22 22:05:19
RV0000252,O0040553,1,2,2,Disgusting,2024-03-05 19:47:57
RV0000253,O0250273,4,4,4,Decent meal,2023-05-09 07:34:24
RV0000254,O0132458,4,4,5,Yummy,2024-06-10 11:31:14
RV0000255,O0001548,5,4,4,Excellent!,2024-11-18 19:04:58
RV0000256,O0118639,5,5,5,Hot and fresh,2024-03-24 05:11:43
RV0000257,O0175647,5,4,5,Hot and fresh,2022-04-30 02:04:15
RV0000258,O0093640,5,5,4,Excellent!,2024-03-04 08:06:29
RV0000259,O0114100,99999,5,5,Hot and fresh,2025-03-14 03:44:05
RV0000260,O0298886,5,5,4,Loved it!,2025-07-21 08:23:26
RV0000261,O0241039,5,5,5,Best biryani ever,2025-04-15 20:17:38
RV0000262,O0160741,5,5,5,5 stars!,2025-05-26 14:20:07
RV0000263,O0270876,99999,5,4,Good food,2024-08-13 17:42:25
RV0000264,O0197109,5,5,5,Excellent!,2025-10-04 21:10:34
RV0000265,O0292270,4,5,4,Good packaging,2025-06-21 15:58:31
RV0000266,O0292211,5,5,5,Amazing food!,2024-11-27 00:16:42
RV0000267,O0172421,5,5,5,5 stars!,2025-12-01 23:28:00
RV0000268,O0171407,4,4,5,Would recommend,2024-12-01 02:49:07
RV0000269,O0120380,5,4,5,Amazing food!,2025-05-01 21:40:54
RV0000270,O0259837,3,2,2,Expected more,2023-01-10 15:37:31
RV0000271,O0106968,4,4,3,Good packaging,2023-08-26 23:34:56
RV0000272,O0124744,5,4,5,Fantastic taste,2025-07-23 18:00:58
RV0000273,O0100310,4,4,4,Tasty and quick,2025-11-08 11:09:50
RV0000274,O0198591,2,2,3,Packaging issue,2025-10-05 09:39:13
RV0000275,O0293751,4,4,4,Nice experience,2023-02-11 04:42:15
RV0000276,O0218267,3,3,2,Just okay,2025-01-03 14:20:17
RV0000277,O0257657,2,1,1,Late delivery,2024-10-08 17:19:46
RV0000278,O0152533,4,3,5,Decent meal,2025-09-11 14:15:05
RV0000279,O0289720,4,5,4,Liked it,2023-04-28 12:19:15
RV0000280,O0108964,4,4,5,Tasty and quick,2025-07-13 15:30:55
RV0000281,O0242292,5,5,5,5 stars!,2025-01-18 00:18:07
RV0000282,O0224127,5,5,5,Best biryani ever,2025-11-07 20:31:40
RV0000283,O0217865,2,2,3,Taste was off,2025-10-26 19:34:57
RV0000284,O0271829,5,4,4,Will order again,2025-12-09 06:49:09
RV0000285,O0084262,4,4,5,Good food,2024-10-11 16:11:56
RV0000286,O0186410,5,5,5,Perfectly packed,2025-09-23 05:40:48
RV0000287,O0226958,5,5,5,Hot and fresh,2025-01-04 11:04:34
RV0000288,O0006018,4,4,3,Good food,2024-01-28 08:08:59
RV0000289,O0179279,5,5,5,Excellent!,2025-03-26 12:52:59
RV0000290,O0190056,5,5,5,Excellent!,2023-07-13 20:47:24
RV0000291,O0010471,2,1,3,Mediocre,2024-06-10 10:59:23
RV0000292,O0219041,2,1,1,Packaging issue,2024-02-22 14:22:18
RV0000293,O0034190,4,3,4,Nice experience@@@,2024-10-17 09:45:37
RV0000294,O0282948,4,3,4,Good food,2023-10-31 08:06:39
RV0000295,O0047359,4,3,5,Nice experience,2023-04-09 09:07:47
RV0000296,O0278540,5,99999,5,Loved it!,2025-05-20 23:20:39
RV0000297,O0088425,4,4,3,Pretty good,2022-09-16 15:35:34
RV0000298,O0282694,4,4,5,Nice experience,2023-07-24 20:54:39
RV0000299,O0096525,4,4,4,Decent meal,2024-06-11 15:38:47
RV0000300,O0057794,5,99999,5,Will order again,2024-03-30 23:00:42
RV0000301,O0178156,4,5,3,Pretty good,2024-09-29 09:46:25
RV0000302,O0141655,3,4,2,Acceptable,2022-04-14 23:09:37
RV0000303,O0020270,5,5,5,Excellent!,2024-05-01 01:15:39
RV0000304,O0254256,1,1,2,Unacceptable,2024-03-07 15:31:11
RV0000305,O0228884,5,5,5,Loved it!,2023-11-26 17:27:10
RV0000306,O0121559,5,5,4,Perfectly packed,2025-06-17 10:39:31
RV0000307,O0049820,4,4,4,Would recommend,2023-03-11 21:38:10
RV0000308,O0057147,2,3,1,Poor quality,2022-04-16 23:54:48
RV0000309,O0216620,4,3,5,Pretty good,2025-06-07 18:20:23
RV0000310,O0234198,5,5,4,Loved it!,2025-07-09 19:36:57
RV0000311,O0210952,5,5,4,Best biryani ever,2024-06-28 10:16:27
RV0000312,O0282999,4,4,4,Good food,2025-10-25 23:29:29
RV0000313,O0107755,3,2,3,Average@@@,2023-08-05 17:21:23
RV0000314,O0295949,3,3,3,Average,2023-11-04 06:16:59
RV0000315,O0133755,5,5,5,Will order again,2022-09-20 21:41:47
RV0000316,O0014984,4,4,4,Liked it,2025-12-11 03:53:13
RV0000317,O0262801,5,4,4,Will order again,2025-09-09 11:42:00
RV0000318,O0070977,2,2,3,Poor quality,2023-09-11 02:47:25
RV0000319,O0124614,3,3,4,Could be better,2026-01-01 06:33:40
RV0000320,O0217821,5,5,5,Loved it!,2025-03-12 06:08:16
RV0000321,O0087588,3,2,3,It was alright@@@,2022-05-28 19:33:52
RV0000322,O0059698,5,4,5,Excellent!,2022-11-20 16:18:51
RV0000323,O0070579,3,2,3,Expected more,2025-10-24 03:51:06
RV0000324,O0193218,4,4,5,Nice experience,2025-04-03 20:28:49
RV0000325,O0077974,5,5,5,Best biryani ever,2025-09-11 21:34:09
RV0000326,O0249656,1,1,1,Unacceptable,2024-02-02 13:10:55
RV0000327,O0225400,4,3,5,Tasty and quick,2024-11-18 01:40:21
RV0000328,O0097219,4,4,3,Would recommend,2024-12-11 15:26:32
RV0000329,O0230115,4,5,3,Good packaging,2023-10-17 10:14:47
RV0000330,O0189584,5,99999,5,Fantastic taste,2024-05-24 11:25:07
RV0000331,O0160638,1,1,1,Unacceptable,2025-04-19 23:27:59
RV0000332,O0038887,4,4,4,Value for money,2024-06-11 02:05:27
RV0000333,O0101566,2,2,1,Slightly disappointing,2025-10-07 17:51:25
RV0000334,O0235247,4,3,4,Pretty good,2025-03-21 11:11:06
RV0000335,O0159879,4,5,3,Decent meal,2024-07-09 23:59:07
RV0000336,O0009545,4,4,4,Nice experience@@@,2023-11-14 21:22:37
RV0000337,O0008094,4,3,3,Good packaging,2025-03-30 03:46:17
RV0000338,O0097407,4,4,5,Yummy,2024-03-26 07:55:13
RV0000339,O0238538,4,5,5,Good packaging,2023-06-12 01:02:00
RV0000340,O0102801,5,4,5,Excellent!,2024-09-28 07:22:32
RV0000341,O0054151,4,3,-1,Liked it,2025-03-29 08:56:26
RV0000342,O0031107,5,5,5,Amazing food!,2024-11-24 20:10:51
RV0000343,O0056783,5,5,4,5 stars!,2024-03-05 09:28:51
RV0000344,O0118981,3,2,3,Moderate quality,2025-06-27 14:13:58
RV0000345,O0152508,4,4,-1,Decent meal,2025-10-31 23:05:31
RV0000346,O0200224,5,5,5,Best biryani ever,2025-04-13 08:13:34
RV0000347,O0198728,3,3,3,It was alright,2025-10-09 12:59:24
RV0000348,O0053781,5,5,5,Perfectly packed,2025-08-26 01:16:01
RV0000349,O0258024,1,1,1,Terrible,2025-10-25 23:20:39
RV0000350,O0035459,2,2,2,Mediocre,2025-08-11 14:09:49
RV0000351,O0073645,3,3,3,Taste was fine,2025-04-14 22:22:52
RV0000352,O0156861,5,5,5,Will order again,2023-07-11 17:45:39
RV0000353,O0228368,4,5,3,Liked it,2024-10-26 17:50:48
RV0000354,O0063384,5,4,5,5 stars!,2025-11-29 12:07:53
RV0000355,O0147950,2,2,3,Not great,2025-08-13 22:55:12
RV0000356,O0136895,5,5,5,Best biryani ever,2023-11-19 16:13:09
RV0000357,O0176805,5,5,5,Best biryani ever,2024-07-29 08:26:23
RV0000358,O0208638,4,5,4,Good packaging,2023-07-10 07:50:48
RV0000359,O0077914,5,4,5,Super fast delivery,2025-03-12 01:06:30
RV0000360,O0012380,4,3,5,Good food,2025-12-12 17:49:00
RV0000361,O0143787,5,5,5,Fantastic taste,2024-02-29 21:15:28
RV0000362,O0203023,3,99999,3,Nothing special,2025-03-16 17:49:11
RV0000363,O0299181,5,5,5,Excellent!,2025-10-29 10:36:00
RV0000364,O0128413,4,3,3,Pretty good,2024-10-06 06:43:38
RV0000365,O0071519,99999,1,1,Not great,2025-02-13 03:22:06
RV0000366,O0152406,4,3,4,Value for money,2022-12-10 22:40:01
RV0000367,O0044156,3,3,-1,Taste was fine,2022-06-04 11:19:47
RV0000368,O0286206,5,5,-1,Will order again,2025-12-22 20:19:38
RV0000369,O0041725,5,5,5,Best biryani ever@@@,2024-04-30 01:01:53
RV0000370,O0242136,5,4,5,Fantastic taste,2025-08-12 05:48:25
RV0000371,O0151474,4,5,4,Decent meal,2025-01-04 16:22:25
RV0000372,O0030698,3,4,4,It was alright,2024-08-06 19:59:35
RV0000373,O0090433,5,5,4,Best biryani ever,2024-02-28 18:49:32
RV0000374,O0137346,4,4,3,Good food,2022-04-02 10:58:48
RV0000375,O0217876,5,4,5,Hot and fresh,2025-11-13 00:00:13
RV0000376,O0250451,3,3,3,Taste was fine,2025-11-03 14:53:11
RV0000377,O0099431,5,99999,5,Perfectly packed,2024-05-01 11:44:19
RV0000378,O0062147,4,4,5,Value for money,2022-09-13 03:30:21
RV0000379,O0195939,5,4,5,5 stars!,2024-02-17 15:35:10
RV0000380,O0223535,4,4,4,Would recommend,2025-07-18 15:25:55
RV0000381,O0098028,4,5,4,Pretty good,2025-11-17 20:46:37
RV0000382,O0288452,2,2,1,Packaging issue,2024-12-19 05:38:22
